Dagur;Tími;ID;Námskeið;Bygging;Stofa;Fjöldi;Lengd prófs;Heildarfjöldi;Hámarksfjöldi;Fjöldi námskeiða í stofu;Ósk um fjölda í stofu;Inspera;
2019.12.3;13:30;05750220196;TYS103G;Adalbygging;A050;6;3;;;;0;0;VHV108:HusVigdisar
2019.12.3;13:30;05402220196;ISL301G;Adalbygging;A050;9;3;;;;0;0;HT104 VHV-023:Haskolatorg HusVigdisar
;;;;;A050;;;15;15;2;;
2019.12.3;13:30;70203520196;LAK112G;Adalbygging;A051;8;3;;;;0;0; 
2019.12.3;13:30;70834820196;JAR513M;Adalbygging;A051;4;3;;;;0;0;N-128 N-129:Askja
;;;;;A051;;;12;12;2;;
2019.12.3;13:30;05000220196;ABF305G;Adalbygging;A052;8;3;;;;0;0;HT104 VHV-023:Haskolatorg HusVigdisar
2019.12.3;13:30;70621320196;FER510G;Adalbygging;A052;10;3;;;;0;0;Askja130 Askja131:Askja
;;;;;A052;;;18;18;2;;
2019.12.3;13:30;09101020196;STA101G;Adalbygging;A069;6;3;;;;0;0;V02-158 Naustið, VoN:VR_2
2019.12.3;13:30;70621320196;FER510G;Adalbygging;A069;6;3;;;;0;0;Askja130 Askja131:Askja
;;;;;A069;;;12;12;2;;
;;;;Adalbygging;;;;57;57;;;;
2019.12.3;13:30;70445420196;STA108G;Arnagardur;A201;16;3;;;;0;0;HT102 Askja132 O201 Á301 HT104:Askja Arnagardur Haskolatorg O
2019.12.3;13:30;05500520196;ISE014G;Arnagardur;A201;16;3;;;;0;0;L103 Á201:Arnagardur Logberg
;;;;;A201;;;32;48;2;;
2019.12.3;13:30;09101220196;STA105G;Arnagardur;A301;16;3;;;;0;0;HT105 Askja132 O201 HT104 Á304 Á301 HT102:Askja Arnagardur Ha
2019.12.3;13:30;70445420196;STA108G;Arnagardur;A301;16;3;;;;0;0;HT102 Askja132 O201 Á301 HT104:Askja Arnagardur Haskolatorg O
2019.12.3;13:30;70768120196;TJO328G;Arnagardur;A301;8;3;;;;0;0;O-204 O-104:Oddi
;;;;;A301;;;40;48;3;;
2019.12.3;13:30;09101220196;STA105G;Arnagardur;A304;8;3;;;;0;0;HT105 Askja132 O201 HT104 Á304 Á301 HT102:Askja Arnagardur Ha
2019.12.3;13:30;05500520196;ISE014G;Arnagardur;A304;12;3;;;;0;0;L103 Á201:Arnagardur Logberg
;;;;;A304;;;20;20;2;;
2019.12.3;13:30;05500520196;ISE014G;Arnagardur;A311;9;3;;;;0;0;L103 Á201:Arnagardur Logberg
2019.12.3;13:30;05050120196;ISL306G;Arnagardur;A311;13;3;;;;0;0;Á311 Veröld-008:Arnagardur HusVigdisar
;;;;;A311;;;22;26;2;;
;;;;Arnagardur;;;;114;142;;;;
2019.12.3;13:30;05700220196;SAN107G;Askja;Askja130;10;3;;;;0;0;N-120:Askja
2019.12.3;13:30;70834820196;JAR513M;Askja;Askja130;10;3;;;;0;0;N-128 N-129:Askja
;;;;;Askja130;;;20;20;2;;
2019.12.3;13:30;05753120196;TYS502G;Askja;Askja131;11;3;;;;0;0;Veröld-008:HusVigdisar
2019.12.3;13:30;70834820196;JAR513M;Askja;Askja131;10;3;;;;0;0;N-128 N-129:Askja
2019.12.3;13:30;70621420196;FER111F;Askja;Askja131;1;3;;;;0;0;Askja130 Askja131:Askja
;;;;;Askja131;;;22;30;3;;
;;;;Askja;;;;42;50;;;;
;;;;Gimli;;;;0;0;;;;
2019.12.3;13:30;09101220196;STA105G;Haskolatorg;HT102;29;3;;;;0;0;HT105 Askja132 O201 HT104 Á304 Á301 HT102:Askja Arnagardur Ha
2019.12.3;13:30;70445420196;STA108G;Haskolatorg;HT102;29;3;;;;0;0;HT102 Askja132 O201 Á301 HT104:Askja Arnagardur Haskolatorg O
;;;;;HT102;;;58;85;2;;
2019.12.3;13:30;70445420196;STA108G;Haskolatorg;HT103;19;3;;;;0;0;HT102 Askja132 O201 Á301 HT104:Askja Arnagardur Haskolatorg O
2019.12.3;13:30;70621320196;FER510G;Haskolatorg;HT103;17;3;;;;0;0;Askja130 Askja131:Askja
;;;;;HT103;;;36;54;2;;
2019.12.3;13:30;70445420196;STA108G;Haskolatorg;HT104;18;3;;;;0;0;HT102 Askja132 O201 Á301 HT104:Askja Arnagardur Haskolatorg O
2019.12.3;13:30;05402220196;ISL301G;Haskolatorg;HT104;10;3;;;;0;0;HT104 VHV-023:Haskolatorg HusVigdisar
2019.12.3;13:30;05000220196;ABF305G;Haskolatorg;HT104;9;3;;;;0;0;HT104 VHV-023:Haskolatorg HusVigdisar
;;;;;HT104;;;37;54;3;;
2019.12.3;13:30;09101220196;STA105G;Haskolatorg;HT105;29;3;;;;0;0;HT105 Askja132 O201 HT104 Á304 Á301 HT102:Askja Arnagardur Ha
2019.12.3;13:30;70445420196;STA108G;Haskolatorg;HT105;29;3;;;;0;0;HT102 Askja132 O201 Á301 HT104:Askja Arnagardur Haskolatorg O
;;;;;HT105;;;58;85;2;;
;;;;Haskolatorg;;;;189;278;;;;
2019.12.3;13:30;70728020196;STJ336G;HusVigdisar;VHV007;15;3;;;;0;1; 
2019.12.3;13:30;10046120196;FEL306G;HusVigdisar;VHV007;29;3;;;;0;1;HT102 O301 Ág-422 Askja132 G101:Askja Arnagardur Gimli Haskol
;;;;;VHV007;;;44;44;2;;
;;;;HusVigdisar;;;;44;44;;;;
2019.12.3;13:30;70384620196;TRS308G;Logberg;L102;10;3;;;;0;0;E-301 K-208 K-207 H203 H-204 H207 K205 H202:Stakkahlid_Enni S
2019.12.3;13:30;70445420196;STA108G;Logberg;L102;15;3;;;;0;0;HT102 Askja132 O201 Á301 HT104:Askja Arnagardur Haskolatorg O
;;;;;L102;;;25;25;2;;
2019.12.3;13:30;70203520196;LAK112G;Logberg;L103;15;3;;;;0;0; 
2019.12.3;13:30;05500520196;ISE014G;Logberg;L103;10;3;;;;0;0;L103 Á201:Arnagardur Logberg
;;;;;L103;;;25;25;2;;
;;;;Logberg;;;;50;50;;;;
2019.12.3;13:30;70384620196;TRS308G;Oddi;O201;15;3;;;;0;0;E-301 K-208 K-207 H203 H-204 H207 K205 H202:Stakkahlid_Enni S
2019.12.3;13:30;70445420196;STA108G;Oddi;O201;21;3;;;;0;0;HT102 Askja132 O201 Á301 HT104:Askja Arnagardur Haskolatorg O
2019.12.3;13:30;70768120196;TJO328G;Oddi;O201;8;3;;;;0;0;O-204 O-104:Oddi
;;;;;O201;;;44;44;3;;
;;;;Oddi;;;;44;44;;;;
2019.12.3;13:30;09101220196;STA105G;Stakkahlid_Enni;E301;13;3;;;;0;0;HT105 Askja132 O201 HT104 Á304 Á301 HT102:Askja Arnagardur Ha
2019.12.3;13:30;70445420196;STA108G;Stakkahlid_Enni;E301;17;3;;;;0;0;HT102 Askja132 O201 Á301 HT104:Askja Arnagardur Haskolatorg O
;;;;;E301;;;30;30;2;;
2019.12.3;13:30;10046120196;FEL306G;Stakkahlid_Enni;E303;20;3;;;;0;1;HT102 O301 Ág-422 Askja132 G101:Askja Arnagardur Gimli Haskol
;;;;;E303;;;20;20;1;;
;;;;Stakkahlid_Enni;;;;50;50;;;;
2019.12.3;13:30;70728020196;STJ336G;Stakkahlid_Hamar;H101;10;3;;;;0;1; 
2019.12.3;13:30;10046120196;FEL306G;Stakkahlid_Hamar;H101;12;3;;;;0;1;HT102 O301 Ág-422 Askja132 G101:Askja Arnagardur Gimli Haskol
;;;;;H101;;;22;22;2;;
2019.12.3;13:30;70728020196;STJ336G;Stakkahlid_Hamar;H201;22;3;;;;0;1; 
;;;;;H201;;;22;25;1;;
2019.12.3;13:30;70384620196;TRS308G;Stakkahlid_Hamar;H202;11;3;;;;0;0;E-301 K-208 K-207 H203 H-204 H207 K205 H202:Stakkahlid_Enni S
2019.12.3;13:30;70903420196;RUS313G;Stakkahlid_Hamar;H202;4;3;;;;0;0;VHV-223 VHV-207:HusVigdisar
;;;;;H202;;;15;19;2;;
2019.12.3;13:30;70384620196;TRS308G;Stakkahlid_Hamar;H203;7;3;;;;0;0;E-301 K-208 K-207 H203 H-204 H207 K205 H202:Stakkahlid_Enni S
2019.12.3;13:30;01200020196;GFR204G;Stakkahlid_Hamar;H203;8;3;;;;0;0;A229 A050 HB-4:Adalbygging
;;;;;H203;;;15;19;2;;
2019.12.3;13:30;70384620196;TRS308G;Stakkahlid_Hamar;H204;7;3;;;;0;0;E-301 K-208 K-207 H203 H-204 H207 K205 H202:Stakkahlid_Enni S
2019.12.3;13:30;01200020196;GFR204G;Stakkahlid_Hamar;H204;8;3;;;;0;0;A229 A050 HB-4:Adalbygging
;;;;;H204;;;15;20;2;;
2019.12.3;13:30;70384620196;TRS308G;Stakkahlid_Hamar;H205;9;3;;;;0;0;E-301 K-208 K-207 H203 H-204 H207 K205 H202:Stakkahlid_Enni S
2019.12.3;13:30;10101320196;TJO103G;Stakkahlid_Hamar;H205;10;3;;;;0;0;L102 O-206:Logberg Oddi
;;;;;H205;;;19;25;2;;
2019.12.3;13:30;70384620196;TRS308G;Stakkahlid_Hamar;H206;8;3;;;;0;0;E-301 K-208 K-207 H203 H-204 H207 K205 H202:Stakkahlid_Enni S
2019.12.3;13:30;05750220196;TYS103G;Stakkahlid_Hamar;H206;7;3;;;;0;0;VHV108:HusVigdisar
;;;;;H206;;;15;21;2;;
2019.12.3;13:30;70384620196;TRS308G;Stakkahlid_Hamar;H207;12;3;;;;0;0;E-301 K-208 K-207 H203 H-204 H207 K205 H202:Stakkahlid_Enni S
2019.12.3;13:30;10101320196;TJO103G;Stakkahlid_Hamar;H207;10;3;;;;0;0;L102 O-206:Logberg Oddi
;;;;;H207;;;22;34;2;;
;;;;Stakkahlid_Hamar;;;;145;185;;;;
2019.12.3;13:30;10046120196;FEL306G;Stakkahlid_Klettur;K204;8;3;;;;0;1;HT102 O301 Ág-422 Askja132 G101:Askja Arnagardur Gimli Haskol
;;;;;K204;;;8;15;1;;
2019.12.3;13:30;10046120196;FEL306G;Stakkahlid_Klettur;K205;8;3;;;;0;1;HT102 O301 Ág-422 Askja132 G101:Askja Arnagardur Gimli Haskol
;;;;;K205;;;8;20;1;;
2019.12.3;13:30;10046120196;FEL306G;Stakkahlid_Klettur;K206;8;3;;;;0;1;HT102 O301 Ág-422 Askja132 G101:Askja Arnagardur Gimli Haskol
;;;;;K206;;;8;20;1;;
2019.12.3;13:30;10046120196;FEL306G;Stakkahlid_Klettur;K207;9;3;;;;0;1;HT102 O301 Ág-422 Askja132 G101:Askja Arnagardur Gimli Haskol
;;;;;K207;;;9;25;1;;
2019.12.3;13:30;10046120196;FEL306G;Stakkahlid_Klettur;K208;9;3;;;;0;1;HT102 O301 Ág-422 Askja132 G101:Askja Arnagardur Gimli Haskol
;;;;;K208;;;9;25;1;;
;;;;Stakkahlid_Klettur;;;;42;105;;;;
2019.12.3;13:30;08732320196;HBV103M;VR_2;V147;9;3;;;;0;0; 
2019.12.3;13:30;09101020196;STA101G;VR_2;V147;6;3;;;;0;0;V02-158 Naustið, VoN:VR_2
;;;;;V147;;;15;15;2;;
2019.12.3;13:30;70203520196;LAK112G;VR_2;V152;12;3;;;;0;0; 
2019.12.3;13:30;09556020196;UAU101F;VR_2;V152;12;3;;;;0;0;V155 V152:VR_2
;;;;;V152;;;24;36;2;;
2019.12.3;13:30;70203520196;LAK112G;VR_2;V155;8;3;;;;0;0; 
2019.12.3;13:30;09556020196;UAU101F;VR_2;V155;12;3;;;;0;0;V155 V152:VR_2
;;;;;V155;;;20;22;2;;
2019.12.3;13:30;08732320196;HBV103M;VR_2;V156;8;3;;;;0;0; 
2019.12.3;13:30;70559820196;VEL120F;VR_2;V156;11;3;;;;0;0;V02-148, sérstofa VR-2 V156:VR_2
;;;;;V156;;;19;22;2;;
2019.12.3;13:30;70203520196;LAK112G;VR_2;V258;8;3;;;;0;0; 
2019.12.3;13:30;71002620196;ILT102F;VR_2;V258;12;3;;;;0;0;V155 V258 Verk- og náttúruvísindasvið VHV103:HusVigdisar VR_2
;;;;;V258;;;20;22;2;;
2019.12.3;13:30;70203520196;LAK112G;VR_2;V261;10;3;;;;0;0; 
2019.12.3;13:30;09101020196;STA101G;VR_2;V261;10;3;;;;0;0;V02-158 Naustið, VoN:VR_2
;;;;;V261;;;20;30;2;;
;;;;VR_2;;;;118;147;;;;
Tölvustofur;;;;;;;;;;;;;
;;;;Adalbygging;;;;0;0;;;;
;;;;Arnagardur;;;;0;0;;;;
;;;;;Askja166;;;0;24;0;;;;;Askja;;;;0;24;;;;
;;;;;G101;;;0;21;0;;;;;Gimli;;;;0;21;;;;
;;;;;HT204;;;0;40;0;;;;;Haskolatorg;;;;0;40;;;;
;;;;HusVigdisar;;;;0;0;;;;
;;;;Logberg;;;;0;0;;;;
;;;;;O102;;;0;18;0;;;;;;O301;;;0;38;0;;;;;Oddi;;;;0;56;;;;
;;;;Stakkahlid_Enni;;;;0;0;;;;
;;;;Stakkahlid_Hamar;;;;0;0;;;;
;;;;Stakkahlid_Klettur;;;;0;0;;;;
;;;;;V260;;;0;21;0;;;;;VR_2;;;;0;21;;;;
Sérúrræði;;;;;;;;;;;;
;;;;;A050_special;;;0;10;0;;
;;;;;A051_special;;;0;12;0;;
;;;;;A052_special;;;0;11;0;;
;;;;Adalbygging;;;;0;33;;;;
;;;;;A304_special;;;0;10;0;;
;;;;Arnagardur;;;;0;10;;;;
;;;;Askja;;;;0;0;;;;
;;;;Gimli;;;;0;0;;;;
;;;;;HT103_special;;;0;2;0;;
;;;;Haskolatorg;;;;0;2;;;;
;;;;HusVigdisar;;;;0;0;;;;
;;;;;L103_special;;;0;1;0;;
;;;;Logberg;;;;0;1;;;;
;;;;Oddi;;;;0;0;;;;
;;;;;E303_special;;;0;6;0;;
;;;;Stakkahlid_Enni;;;;0;6;;;;
;;;;;H206_special;;;0;1;0;;
;;;;Stakkahlid_Hamar;;;;0;1;;;;
;;;;;K204_special;;;0;15;0;;
