Dagur;Tími;ID;Námskeið;Stofa;Bygging;Fjöldi;Lengd prófs;Forgangur
14.12.2016;13:30;06042220166;LYF301G;VRII;V261;18;3;1
14.12.2016;13:30;06042220166;LYF301G;VRII;V152;21;3;1
14.12.2016;13:30;06042220166;LYF301G;Arnagardur;A310;4;3;2
14.12.2016;13:30;05150320166;ENS102G;Oddi;O301;38;3;1
14.12.2016;13:30;05150320166;ENS102G;Haskolatorg;Ht204;30;3;1
14.12.2016;13:30;05150320166;ENS102G;Haskolatorg;Ht302;3;3;1
14.12.2016;13:30;09313820166;EFN307G;Logberg;L103;19;3;1
14.12.2016;13:30;09313820166;EFN307G;Logberg;L201;2;3;2
14.12.2016;13:30;70748120166;EFN315G;Logberg;L102;13;3;1
14.12.2016;13:30;70748120166;EFN315G;Logberg;L201;2;3;2
14.12.2016;13:30;05250620166;FRA107G;Arnagardur;A301;13;3;1
14.12.2016;13:30;05250620166;FRA107G;Arnagardur;A101;1;3;2
14.12.2016;13:30;02061320166;GSL101G;Eirberg;E201C;23;3;1
14.12.2016;13:30;02061320166;GSL101G;Logberg;L201;5;3;2
14.12.2016;13:30;05500420166;ISE102G;Eirberg;E203C;50;3;1
14.12.2016;13:30;05500420166;ISE102G;Eirberg;E103C;50;3;1
14.12.2016;13:30;05500420166;ISE102G;Eirberg;E201C;14;3;1
14.12.2016;13:30;05500420166;ISE102G;Arnagardur;A101;1;3;2
14.12.2016;13:30;09634920166;LAN514G;Askja;N131;26;3;1
14.12.2016;13:30;09634920166;LAN514G;Logberg;L201;2;3;2
14.12.2016;13:30;05270120166;LAT101G;Haskolatorg;Ht104;7;3;1
14.12.2016;13:30;05270120166;LAT101G;Haskolatorg;Ht103;7;3;1
14.12.2016;13:30;70433620166;LIF108G;Oddi;O201;41;3;2
14.12.2016;13:30;70433620166;LIF108G;Arnagardur;A310;3;3;2
14.12.2016;13:30;70791020166;MAF102G;Arnagardur;A301;8;3;1
14.12.2016;13:30;70693720166;MAN331G;Adalbygging;A050;16;3;1
14.12.2016;13:30;70693720166;MAN331G;Adalbygging;A218;16;3;2
14.12.2016;13:30;70693720166;MAN331G;Adalbygging;A207;4;3;1
14.12.2016;13:30;09816020166;MAT303M;Adalbygging;A050;7;3;1
14.12.2016;13:30;09816020166;MAT303M;Adalbygging;A218;7;3;2
14.12.2016;13:30;09816020166;MAT303M;Adalbygging;A207;3;3;1
14.12.2016;13:30;70058720166;STJ325G;Haskolatorg;Ht104;12;3;1
14.12.2016;13:30;70058720166;STJ325G;Haskolatorg;Ht105;12;3;1
14.12.2016;13:30;70058720166;STJ325G;Haskolatorg;Ht102;12;3;1
14.12.2016;13:30;70058720166;STJ325G;Haskolatorg;Ht103;13;3;1
14.12.2016;13:30;70058720166;STJ325G;Logberg;L201;5;3;2
14.12.2016;13:30;05700320166;SAN106G;Logberg;L102;12;3;1
14.12.2016;13:30;07043020166;TAN208G;Logberg;L103;6;3;1
14.12.2016;13:30;07043020166;TAN208G;Logberg;L201;2;3;2
14.12.2016;13:30;08711420166;TOL104G;Haskolatorg;Ht104;33;3;1
14.12.2016;13:30;08711420166;TOL104G;Haskolatorg;Ht105;68;3;1
14.12.2016;13:30;08711420166;TOL104G;Haskolatorg;Ht102;68;3;1
14.12.2016;13:30;08711420166;TOL104G;Haskolatorg;Ht103;32;3;1
14.12.2016;13:30;08711420166;TOL104G;Arnagardur;A101;13;3;2
14.12.2016;13:30;70570220166;UAU111F;VRII;V261;12;3;1
14.12.2016;13:30;70570220166;UAU111F;VRII;V152;14;3;1
14.12.2016;13:30;70570220166;UAU111F;Arnagardur;A310;1;3;2
14.12.2016;13:30;04410220166;VID103G;Arnagardur;A201;48;3;1
14.12.2016;13:30;04410220166;VID103G;Arnagardur;A301;27;3;1
14.12.2016;13:30;04410220166;VID103G;Hamar;H101;20;3;2
14.12.2016;13:30;04410220166;VID103G;Hamar;H204;25;3;1
14.12.2016;13:30;04410220166;VID103G;Hamar;H206;22;3;1
14.12.2016;13:30;04410220166;VID103G;Arnagardur;A311;24;3;1
14.12.2016;13:30;04410220166;VID103G;Hamar;H205;25;3;1
14.12.2016;13:30;04410220166;VID103G;Arnagardur;A304;26;3;1
14.12.2016;13:30;04410220166;VID103G;Hamar;H207;44;3;1
14.12.2016;13:30;04410220166;VID103G;Hamar;H201;25;3;1
14.12.2016;13:30;04410220166;VID103G;Hamar;H203;16;3;1
14.12.2016;13:30;04410220166;VID103G;Hamar;H202;16;3;1
14.12.2016;13:30;04410220166;VID103G;Adalbygging;A207;11;3;1
14.12.2016;13:30;04410220166;VID103G;Adalbygging;A225;18;3;1
14.12.2016;13:30;04410220166;VID103G;Arnagardur;A310;6;3;2
