Dagur;Tími;ID;Námskeið;Bygging;Stofa;Fjöldi;Lengd prófs;Heildarfjöldi;Hámarksfjöldi;Fjöldi námskeiða í stofu;Ósk um fjölda í stofu;Inspera;
2019.12.12;09:00;10598520196;ASK105F;Arnagardur;A201;14;3;;;;0;0; 
2019.12.12;09:00;50000220196;KME301G;Arnagardur;A201;16;3;;;;0;0;E-301 H208 H209 H207 Bratti H203 H201:Stakkahlid_Hamar
;;;;;A201;;;30;48;2;;
2019.12.12;09:00;10598520196;ASK105F;Arnagardur;A301;14;3;;;;0;0; 
2019.12.12;09:00;50000220196;KME301G;Arnagardur;A301;16;3;;;;0;0;E-301 H208 H209 H207 Bratti H203 H201:Stakkahlid_Hamar
;;;;;A301;;;30;48;2;;
2019.12.12;09:00;50000220196;KME301G;Arnagardur;A304;7;3;;;;0;0;E-301 H208 H209 H207 Bratti H203 H201:Stakkahlid_Hamar
2019.12.12;09:00;02062220196;GSL303G;Arnagardur;A304;9;3;;;;0;0; 
;;;;;A304;;;16;20;2;;
2019.12.12;09:00;70995120196;SAG340G;Arnagardur;A311;8;3;;;;0;0;Á311 VHV108 A-220:Arnagardur HusVigdisar
2019.12.12;09:00;50000220196;KME301G;Arnagardur;A311;9;3;;;;0;0;E-301 H208 H209 H207 Bratti H203 H201:Stakkahlid_Hamar
;;;;;A311;;;17;26;2;;
;;;;Arnagardur;;;;93;142;;;;
2019.12.12;09:00;70311320196;UMV302G;Askja;Askja130;8;3;;;;0;0;V152 V156:VR_2
2019.12.12;09:00;08715320196;TOL107G;Askja;Askja130;12;3;;;;0;0;V02-157 Askja132 A052 V258 Askja131 L102 VHV007:Askja Logberg
;;;;;Askja130;;;20;20;2;;
2019.12.12;09:00;70062320196;FRG508G;Askja;Askja131;24;3;;;;0;1;Ág-422:Arnagardur
;;;;;Askja131;;;24;30;1;;
;;;;Askja;;;;44;50;;;;
2019.12.12;09:00;70738020196;SJU308G;Eirberg;E103C;13;3;;;;0;0; 
2019.12.12;09:00;07011220196;TAN107G;Eirberg;E103C;17;3;;;;0;0; 
;;;;;E103C;;;30;50;2;;
2019.12.12;09:00;07011220196;TAN107G;Eirberg;E201C;14;3;;;;0;0; 
2019.12.12;09:00;70950520196;IDN301G;Eirberg;E201C;14;3;;;;0;0;V155 V156 V02-262, heimast.:VR_2
;;;;;E201C;;;28;40;2;;
2019.12.12;09:00;07011220196;TAN107G;Eirberg;E203C;17;3;;;;0;0; 
2019.12.12;09:00;70950520196;IDN301G;Eirberg;E203C;17;3;;;;0;0;V155 V156 V02-262, heimast.:VR_2
;;;;;E203C;;;34;50;2;;
;;;;Eirberg;;;;92;140;;;;
;;;;Gimli;;;;0;0;;;;
2019.12.12;09:00;08715320196;TOL107G;Haskolatorg;HT102;29;3;;;;0;0;V02-157 Askja132 A052 V258 Askja131 L102 VHV007:Askja Logberg
2019.12.12;09:00;70434020196;EFN309G;Haskolatorg;HT102;29;3;;;;0;0;V02-158 V02-157 HT102:Haskolatorg VR_2
;;;;;HT102;;;58;85;2;;
2019.12.12;09:00;04440120196;VID511G;Haskolatorg;HT103;18;3;;;;0;0;HT204 O-101:Haskolatorg Oddi
2019.12.12;09:00;08715320196;TOL107G;Haskolatorg;HT103;18;3;;;;0;0;V02-157 Askja132 A052 V258 Askja131 L102 VHV007:Askja Logberg
;;;;;HT103;;;36;54;2;;
2019.12.12;09:00;04440120196;VID511G;Haskolatorg;HT104;18;3;;;;0;0;HT204 O-101:Haskolatorg Oddi
2019.12.12;09:00;08715320196;TOL107G;Haskolatorg;HT104;18;3;;;;0;0;V02-157 Askja132 A052 V258 Askja131 L102 VHV007:Askja Logberg
;;;;;HT104;;;36;54;2;;
2019.12.12;09:00;08715320196;TOL107G;Haskolatorg;HT105;29;3;;;;0;0;V02-157 Askja132 A052 V258 Askja131 L102 VHV007:Askja Logberg
2019.12.12;09:00;70434020196;EFN309G;Haskolatorg;HT105;29;3;;;;0;0;V02-158 V02-157 HT102:Haskolatorg VR_2
;;;;;HT105;;;58;85;2;;
;;;;Haskolatorg;;;;188;278;;;;
2019.12.12;09:00;04440120196;VID511G;HusVigdisar;VHV007;16;3;;;;0;0;HT204 O-101:Haskolatorg Oddi
2019.12.12;09:00;50000220196;KME301G;HusVigdisar;VHV007;28;3;;;;0;0;E-301 H208 H209 H207 Bratti H203 H201:Stakkahlid_Hamar
;;;;;VHV007;;;44;44;2;;
;;;;HusVigdisar;;;;44;44;;;;
2019.12.12;09:00;08715320196;TOL107G;Logberg;L102;19;3;;;;0;0;V02-157 Askja132 A052 V258 Askja131 L102 VHV007:Askja Logberg
;;;;;L102;;;19;25;1;;
2019.12.12;09:00;08715320196;TOL107G;Logberg;L103;11;3;;;;0;0;V02-157 Askja132 A052 V258 Askja131 L102 VHV007:Askja Logberg
2019.12.12;09:00;50000220196;KME301G;Logberg;L103;14;3;;;;0;0;E-301 H208 H209 H207 Bratti H203 H201:Stakkahlid_Hamar
;;;;;L103;;;25;25;2;;
;;;;Logberg;;;;44;50;;;;
2019.12.12;09:00;70738020196;SJU308G;Oddi;O201;13;3;;;;0;0; 
2019.12.12;09:00;02081320196;LEI103G;Oddi;O201;31;3;;;;0;0;Lg-343 E103C HB-2 HT105 Bratti E203C HT102 HB-3 HT104 Á301:Ar
;;;;;O201;;;44;44;2;;
;;;;Oddi;;;;44;44;;;;
2019.12.12;09:00;02081320196;LEI103G;Stakkahlid_Hamar;H101;8;3;;;;0;0;Lg-343 E103C HB-2 HT105 Bratti E203C HT102 HB-3 HT104 Á301:Ar
2019.12.12;09:00;50004220196;LSS501G;Stakkahlid_Hamar;H101;8;3;;;;0;0;K-206 K207 H-001 K208:Stakkahlid_Hamar Stakkahlid_Klettur
;;;;;H101;;;16;22;2;;
2019.12.12;09:00;04530320196;HAG503G;Stakkahlid_Hamar;H201;9;3;;;;0;0;L103:Logberg
2019.12.12;09:00;02081320196;LEI103G;Stakkahlid_Hamar;H201;9;3;;;;0;0;Lg-343 E103C HB-2 HT105 Bratti E203C HT102 HB-3 HT104 Á301:Ar
;;;;;H201;;;18;25;2;;
2019.12.12;09:00;04530320196;HAG503G;Stakkahlid_Hamar;H202;7;3;;;;0;0;L103:Logberg
2019.12.12;09:00;02081320196;LEI103G;Stakkahlid_Hamar;H202;7;3;;;;0;0;Lg-343 E103C HB-2 HT105 Bratti E203C HT102 HB-3 HT104 Á301:Ar
;;;;;H202;;;14;19;2;;
2019.12.12;09:00;70055820196;STJ303M;Stakkahlid_Hamar;H203;9;3;;;;0;0;O-106:Oddi
