Dagur;Tími;ID;Námskeið;Bygging;Stofa;Fjöldi;Lengd prófs;Heildarfjöldi;Hámarksfjöldi;Fjöldi námskeiða í stofu;Ósk um fjölda í stofu;Inspera;
2019.12.13;09:00;70796820196;KME101G;Stakkahlid_Hamar;H201;9;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
;;;;;H201;;;18;25;2;;
2019.12.13;09:00;08113120196;UMV502G;Stakkahlid_Hamar;H202;8;3;;;;0;0;V02-354, heimast.:VR_2
2019.12.13;09:00;70796820196;KME101G;Stakkahlid_Hamar;H202;7;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
;;;;;H202;;;15;19;2;;
2019.12.13;09:00;70855320196;REI502M;Stakkahlid_Hamar;H203;7;3;;;;0;0;V261 V152 V02-157:VR_2
2019.12.13;09:00;70796820196;KME101G;Stakkahlid_Hamar;H203;7;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
;;;;;H203;;;14;19;2;;
2019.12.13;09:00;08113120196;UMV502G;Stakkahlid_Hamar;H204;8;3;;;;0;0;V02-354, heimast.:VR_2
2019.12.13;09:00;70796820196;KME101G;Stakkahlid_Hamar;H204;7;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
;;;;;H204;;;15;20;2;;
2019.12.13;09:00;70855320196;REI502M;Stakkahlid_Hamar;H205;9;3;;;;0;0;V261 V152 V02-157:VR_2
2019.12.13;09:00;70796820196;KME101G;Stakkahlid_Hamar;H205;9;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
;;;;;H205;;;18;25;2;;
2019.12.13;09:00;70796820196;KME101G;Stakkahlid_Hamar;H206;7;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
2019.12.13;09:00;09211720196;EDL101G;Stakkahlid_Hamar;H206;7;3;;;;0;0;V258 L-101 V01-110:Logberg VR_2
;;;;;H206;;;14;21;2;;
2019.12.13;09:00;70855320196;REI502M;Stakkahlid_Hamar;H207;12;3;;;;0;0;V261 V152 V02-157:VR_2
2019.12.13;09:00;70796820196;KME101G;Stakkahlid_Hamar;H207;12;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
;;;;;H207;;;24;34;2;;
;;;;Stakkahlid_Hamar;;;;134;185;;;;
2019.12.13;09:00;02061420196;GSL103G;Stakkahlid_Klettur;K204;6;3;;;;0;0; 
2019.12.13;09:00;10026320196;SAL115G;Stakkahlid_Klettur;K204;8;3;;;;0;0; 
;;;;;K204;;;14;15;2;;
2019.12.13;09:00;02061420196;GSL103G;Stakkahlid_Klettur;K205;7;3;;;;0;0; 
2019.12.13;09:00;70796820196;KME101G;Stakkahlid_Klettur;K205;7;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
;;;;;K205;;;14;20;2;;
2019.12.13;09:00;70107720196;SPA306G;Stakkahlid_Klettur;K206;6;3;;;;0;0;L204:Logberg
2019.12.13;09:00;70796820196;KME101G;Stakkahlid_Klettur;K206;7;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
;;;;;K206;;;13;20;2;;
2019.12.13;09:00;02061420196;GSL103G;Stakkahlid_Klettur;K207;9;3;;;;0;0; 
2019.12.13;09:00;70796820196;KME101G;Stakkahlid_Klettur;K207;9;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
;;;;;K207;;;18;25;2;;
2019.12.13;09:00;02061420196;GSL103G;Stakkahlid_Klettur;K208;9;3;;;;0;0; 
2019.12.13;09:00;70978020196;LAT307G;Stakkahlid_Klettur;K208;1;3;;;;0;0;:Logberg
2019.12.13;09:00;70796820196;KME101G;Stakkahlid_Klettur;K208;9;3;;;;0;0;Bratti H202 H203 H-205 H201 K-206 K-207 K-208 Skriða H-101 H-
;;;;;K208;;;19;25;3;;
;;;;Stakkahlid_Klettur;;;;78;105;;;;
2019.12.13;09:00;09211120196;EDL102G;VR_2;V147;5;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;08322120196;TOV501M;VR_2;V147;4;3;;;;0;0;V02-352, heimast. V03-113:VR_2
;;;;;V147;;;9;15;2;;
2019.12.13;09:00;09211120196;EDL102G;VR_2;V152;12;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;10026320196;SAL115G;VR_2;V152;12;3;;;;0;0; 
;;;;;V152;;;24;36;2;;
2019.12.13;09:00;09211120196;EDL102G;VR_2;V155;8;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;10026320196;SAL115G;VR_2;V155;8;3;;;;0;0; 
;;;;;V155;;;16;22;2;;
2019.12.13;09:00;09211120196;EDL102G;VR_2;V156;8;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;10026320196;SAL115G;VR_2;V156;8;3;;;;0;0; 
;;;;;V156;;;16;22;2;;
2019.12.13;09:00;09211120196;EDL102G;VR_2;V258;8;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;09122420196;STA508M;VR_2;V258;4;3;;;;0;0;V138:VR_2
2019.12.13;09:00;10026320196;SAL115G;VR_2;V258;8;3;;;;0;0; 
;;;;;V258;;;20;22;3;;
2019.12.13;09:00;09215420196;EDL509M;VR_2;V261;2;3;;;;0;0;V138 Naustið, VoN:VR_2
2019.12.13;09:00;09211120196;EDL102G;VR_2;V261;10;3;;;;0;0;V01-110 V261 HB-1 V02-157 V156 HB-2 Á101 V155 A050 L103 Á304 
2019.12.13;09:00;70736420196;EDL107G;VR_2;V261;10;3;;;;0;0;HB-1 V02-157 HB-2 V02-158:VR_2
;;;;;V261;;;22;30;3;;
;;;;VR_2;;;;107;147;;;;
Tölvustofur;;;;;;;;;;;;;
;;;;Adalbygging;;;;0;0;;;;
;;;;Arnagardur;;;;0;0;;;;
;;;;;Askja166;;;0;24;0;;;;;Askja;;;;0;24;;;;
;;;;;G101;;;0;21;0;;;;;Gimli;;;;0;21;;;;
