Dagur;Tími;ID;Námskeið;Stofa;Bygging;Fjöldi;Lengd prófs;Forgangur
15.12.2016;13:30;02082520166;LEI402G;Eirberg;E103C;19;3;1
15.12.2016;13:30;02082520166;LEI402G;Arnagardur;A310;1;3;2
15.12.2016;13:30;08711620166;TOL103G;Oddi;O301;38;3;1
15.12.2016;13:30;08711620166;TOL103G;Haskolatorg;Ht204;40;3;1
15.12.2016;13:30;08711620166;TOL103G;Haskolatorg;Ht302;9;3;1
15.12.2016;13:30;70701120166;ABF043G;Arnagardur;A301;7;3;1
15.12.2016;13:30;70701120166;ABF043G;Arnagardur;A304;7;3;1
15.12.2016;13:30;70701120166;ABF043G;Arnagardur;A101;1;3;2
15.12.2016;13:30;70846920166;ENS507G;Arnagardur;A311;11;3;1
15.12.2016;13:30;70846920166;ENS507G;Arnagardur;A101;2;3;2
15.12.2016;13:30;10041620166;FEL313G;Haskolatorg;Ht102;23;3;1
15.12.2016;13:30;10041620166;FEL313G;Logberg;L201;3;3;2
15.12.2016;13:30;05630120166;FOR103G;Arnagardur;A304;11;3;1
15.12.2016;13:30;01400520166;GFR110G;Arnagardur;A304;8;3;1
15.12.2016;13:30;01400520166;GFR110G;Arnagardur;A310;1;3;2
15.12.2016;13:30;70200820166;GFR114G;Arnagardur;A311;3;3;1
15.12.2016;13:30;02061820166;GSL301G;Arnagardur;A201;13;3;1
15.12.2016;13:30;02061820166;GSL301G;Arnagardur;A101;4;3;2
15.12.2016;13:30;04511120166;HAG303G;Haskolatorg;Ht104;16;3;1
15.12.2016;13:30;04511120166;HAG303G;Haskolatorg;Ht103;12;3;1
15.12.2016;13:30;04511120166;HAG303G;Arnagardur;A310;3;3;2
15.12.2016;13:30;05351020166;HSP103G;Haskolatorg;Ht105;40;3;1
15.12.2016;13:30;05351020166;HSP103G;Arnagardur;A101;2;3;2
15.12.2016;13:30;08213320166;IDN502G;Haskolatorg;Ht104;12;3;1
15.12.2016;13:30;08213320166;IDN502G;Haskolatorg;Ht105;28;3;1
15.12.2016;13:30;08213320166;IDN502G;Haskolatorg;Ht102;13;3;1
15.12.2016;13:30;08213320166;IDN502G;Haskolatorg;Ht103;28;3;1
15.12.2016;13:30;08213320166;IDN502G;Arnagardur;A310;3;3;2
15.12.2016;13:30;70070620166;KIN302G;Oddi;O201;17;3;2
15.12.2016;13:30;05070320166;LIS004G;Arnagardur;A301;19;3;1
15.12.2016;13:30;05070320166;LIS004G;Arnagardur;A310;2;3;2
15.12.2016;13:30;06077420166;LYF105F;Arnagardur;A301;21;3;1
15.12.2016;13:30;06077420166;LYF105F;Arnagardur;A310;2;3;2
15.12.2016;13:30;70181520166;LYF507G;Arnagardur;A201;24;3;1
15.12.2016;13:30;70181520166;LYF507G;Arnagardur;A101;3;3;2
15.12.2016;13:30;70075020166;MEX020G;Hamar;H207;31;3;1
15.12.2016;13:30;08310420166;RAF301G;Arnagardur;A201;10;3;1
15.12.2016;13:30;08310420166;RAF301G;Arnagardur;A311;10;3;1
15.12.2016;13:30;08310420166;RAF301G;Arnagardur;A101;3;3;2
15.12.2016;13:30;70012520166;SAL136F;Oddi;O201;18;3;2
15.12.2016;13:30;70012520166;SAL136F;Hamar;H208;1;3;1
15.12.2016;13:30;70735220166;SJU306G;Eirberg;E203C;11;3;1
15.12.2016;13:30;70735220166;SJU306G;Eirberg;E103C;11;3;1
15.12.2016;13:30;70735220166;SJU306G;Logberg;L201;4;3;2
15.12.2016;13:30;04444120166;VID505G;Haskolatorg;Ht104;18;3;1
15.12.2016;13:30;04444120166;VID505G;Haskolatorg;Ht105;12;3;1
15.12.2016;13:30;04444120166;VID505G;Haskolatorg;Ht102;44;3;1
15.12.2016;13:30;04444120166;VID505G;Haskolatorg;Ht103;12;3;1
15.12.2016;13:30;04444120166;VID505G;Logberg;L201;1;3;2
15.12.2016;13:30;52000820166;TRS311G;Eirberg;E203C;39;3;1
15.12.2016;13:30;52000820166;TRS311G;Eirberg;E103C;16;3;1
15.12.2016;13:30;52000820166;TRS311G;Eirberg;E201C;44;3;1
15.12.2016;13:30;52000820166;TRS311G;Hamar;H208;13;3;1
