Dagur;Tími;Fagnúmer ID;Stofu ID;Fjöldi;Lengd
2018.4.27;09:00;70620320180;742;31;3
2018.4.27;09:00;70620320180;744;12;3
2018.4.27;09:00;02082220180;1396;13;3
2018.4.27;09:00;70081320180;744;1;3
2018.4.27;09:00;70808120180;1313;10;3
2018.4.27;09:00;70808120180;1314;10;3
2018.4.27;09:00;09104120180;1263;84;3
2018.4.27;09:00;09102520180;1311;133;3
2018.4.27;09:00;09102520180;1313;32;3
2018.4.27;09:00;09102520180;1314;32;3
2018.4.27;09:00;09102520180;1312;56;3
2018.4.27;09:00;04440520180;1263;53;3
2018.4.27;09:00;70871220180;1398;1;3
2018.4.27;09:00;70387220180;1311;12;3
2018.4.27;09:00;70387220180;1313;12;3
2018.4.27;09:00;70387220180;1314;12;3
2018.4.27;09:00;70387220180;1312;34;3
2018.4.27;09:00;10020220180;915;48;3
2018.4.27;09:00;10020220180;1276;12;3
2018.4.27;09:00;10020220180;1277;22;3
2018.4.27;09:00;70871320180;1396;37;3
2018.4.27;09:00;70871320180;1397;27;3
2018.4.27;09:00;70871320180;1398;49;3
2018.4.27;09:00;09516620180;744;5;3
