Dagur;Tími;ID;Námskeið;Stofa;Bygging;Fjöldi;Lengd prófs;Forgangur
15.12.2016;09:00;02083220166;LEI501G;Eirberg;E103C;13;3;1
15.12.2016;09:00;02015720166;LAK304F;Eirberg;E103C;12;3;1
15.12.2016;09:00;02015720166;LAK304F;Eirberg;E201C;13;3;1
15.12.2016;09:00;03021120166;LOG303G;Haskolatorg;Ht204;40;3;1
15.12.2016;09:00;03021120166;LOG303G;Gimli;G101;17;3;1
15.12.2016;09:00;03021120166;LOG303G;Haskolatorg;Ht302;7;3;1
15.12.2016;09:00;70838720166;VID167F;Oddi;O301;37;4;1
15.12.2016;09:00;70838720166;VID167F;Oddi;O102;6;4;1
15.12.2016;09:00;05711120166;DAN101G;Arnagardur;A311;4;3;1
15.12.2016;09:00;70755420166;DAN313G;Arnagardur;A301;4;3;1
15.12.2016;09:00;70755420166;DAN313G;Arnagardur;A310;1;3;2
15.12.2016;09:00;09215420166;EDL509M;Eirberg;E201C;5;3;1
15.12.2016;09:00;09215420166;EDL509M;Arnagardur;A101;3;3;2
15.12.2016;09:00;70435020166;EFN311G;Arnagardur;A301;20;3;1
15.12.2016;09:00;70435020166;EFN311G;Arnagardur;A101;8;3;2
15.12.2016;09:00;10061620166;FRG501G;Haskolatorg;Ht103;49;2;1
15.12.2016;09:00;10061620166;FRG501G;Adalbygging;A225;17;2;1
15.12.2016;09:00;02063120166;GSL405G;Eirberg;E203C;7;3;1
15.12.2016;09:00;02063120166;GSL405G;Logberg;L201;3;3;2
15.12.2016;09:00;50000720166;GSS105G;Haskolatorg;Ht104;12;3;1
15.12.2016;09:00;50000720166;GSS105G;Haskolatorg;Ht105;49;3;1
15.12.2016;09:00;50000720166;GSS105G;Haskolatorg;Ht102;37;3;1
15.12.2016;09:00;50000720166;GSS105G;Hamar;H209;4;3;1
15.12.2016;09:00;70803420166;HJU110G;Eirberg;E203C;42;3;1
15.12.2016;09:00;70803420166;HJU110G;Eirberg;E103C;25;3;1
15.12.2016;09:00;70803420166;HJU110G;Eirberg;E201C;26;3;1
15.12.2016;09:00;70803420166;HJU110G;Logberg;L201;11;3;2
15.12.2016;09:00;70649920166;ITA324G;Arnagardur;A311;2;3;1
15.12.2016;09:00;70404220166;ITH108G;Hamar;H204;20;3;1
15.12.2016;09:00;70404220166;ITH108G;Hamar;H207;45;3;1
15.12.2016;09:00;70404220166;ITH108G;Hamar;H209;7;3;1
15.12.2016;09:00;05770220166;JAP103G;Arnagardur;A201;17;3;1
15.12.2016;09:00;05770220166;JAP103G;Arnagardur;A310;1;3;2
15.12.2016;09:00;09513720166;LIF102G;Arnagardur;A201;15;3;1
15.12.2016;09:00;09513720166;LIF102G;Arnagardur;A311;18;3;1
15.12.2016;09:00;09513720166;LIF102G;Arnagardur;A304;14;3;1
15.12.2016;09:00;09513720166;LIF102G;Arnagardur;A101;4;3;2
15.12.2016;09:00;09514720166;LIF313G;Logberg;L103;15;3;1
15.12.2016;09:00;09514720166;LIF313G;Logberg;L201;3;3;2
15.12.2016;09:00;70438420166;NAR504M;Haskolatorg;Ht104;10;3;1
15.12.2016;09:00;05281220166;RUS201G;Arnagardur;A304;4;3;1
15.12.2016;09:00;10021320166;SAL504G;Haskolatorg;Ht104;30;3;1
15.12.2016;09:00;10021320166;SAL504G;Haskolatorg;Ht105;12;3;1
15.12.2016;09:00;10021320166;SAL504G;Haskolatorg;Ht102;31;3;1
15.12.2016;09:00;10021320166;SAL504G;Hamar;H208;10;3;1
15.12.2016;09:00;70375720166;STA520M;Arnagardur;A201;16;3;1
15.12.2016;09:00;70375720166;STA520M;Arnagardur;A301;24;3;1
15.12.2016;09:00;70375720166;STA520M;Arnagardur;A310;4;3;2
15.12.2016;09:00;10515120166;UPP109F;Logberg;L103;9;3;1
15.12.2016;09:00;10515120166;UPP109F;Logberg;L201;1;3;2
15.12.2016;09:00;04070820166;VID162F;Haskolatorg;Ht105;19;3;1
15.12.2016;09:00;04070820166;VID162F;Haskolatorg;Ht102;12;3;1
15.12.2016;09:00;04070820166;VID162F;Arnagardur;A310;6;3;2
15.12.2016;09:00;05751320166;TYS310G;Arnagardur;A304;8;3;1
15.12.2016;09:00;05751320166;TYS310G;Arnagardur;A310;1;3;2
