Dagur;Tími;ID;Námskeið;Stofa;Bygging;Fjöldi;Lengd prófs;Forgangur
14.12.2016;09:00;04071020166;VID111F;Haskolatorg;Ht204;16;3;1
14.12.2016;09:00;70274220166;BYG120F;Logberg;L102;8;3;1
14.12.2016;09:00;70274220166;BYG120F;Logberg;L201;1;3;2
14.12.2016;09:00;10046120166;FEL306G;VRII;V156;22;4;1
14.12.2016;09:00;10046120166;FEL306G;VRII;V261;30;4;1
14.12.2016;09:00;10046120166;FEL306G;VRII;V152;26;4;1
14.12.2016;09:00;10046120166;FEL306G;VRII;V258;22;4;1
14.12.2016;09:00;10046120166;FEL306G;Arnagardur;A303;10;4;2
14.12.2016;09:00;70849920166;GFR513M;Logberg;L102;4;3;1
14.12.2016;09:00;70849920166;GFR513M;Logberg;L201;1;3;2
14.12.2016;09:00;04520820166;HAG304G;Logberg;L103;14;3;1
14.12.2016;09:00;04520820166;HAG304G;Logberg;L102;13;3;1
14.12.2016;09:00;04520820166;HAG304G;Logberg;L201;4;3;2
14.12.2016;09:00;05990120166;HSP321G;Arnagardur;A201;12;3;1
14.12.2016;09:00;05990120166;HSP321G;Arnagardur;A311;17;3;1
14.12.2016;09:00;05990120166;HSP321G;Arnagardur;A310;1;3;2
14.12.2016;09:00;70817920166;JED301G;Arnagardur;A201;14;3;1
14.12.2016;09:00;70817920166;JED301G;Arnagardur;A304;12;3;1
14.12.2016;09:00;70817920166;JED301G;Arnagardur;A310;2;3;2
14.12.2016;09:00;09248120166;JED505G;Arnagardur;A301;22;3;1
14.12.2016;09:00;09248120166;JED505G;Arnagardur;A304;14;3;1
14.12.2016;09:00;05060120166;KVI101G;Arnagardur;A201;22;3;1
14.12.2016;09:00;05060120166;KVI101G;Arnagardur;A101;2;3;2
14.12.2016;09:00;09633120166;LAN102G;Logberg;L103;11;3;1
14.12.2016;09:00;09633120166;LAN102G;Arnagardur;A310;2;3;2
14.12.2016;09:00;02081320166;LEI103G;Eirberg;E101C;12;3;3
14.12.2016;09:00;02081320166;LEI103G;Eirberg;E203C;24;3;1
14.12.2016;09:00;02081320166;LEI103G;Eirberg;E103C;24;3;1
14.12.2016;09:00;02081320166;LEI103G;Eirberg;E201C;12;3;1
14.12.2016;09:00;02081320166;LEI103G;Logberg;L201;6;3;2
14.12.2016;09:00;70269420166;LAK115G;Eirberg;E203C;13;3;1
14.12.2016;09:00;70269420166;LAK115G;Eirberg;E103C;12;3;1
14.12.2016;09:00;70269420166;LAK115G;Eirberg;E201C;20;3;1
14.12.2016;09:00;70269420166;LAK115G;Logberg;L201;3;3;2
14.12.2016;09:00;70269520166;LAK116G;Eirberg;E203C;12;3;1
14.12.2016;09:00;70269520166;LAK116G;Eirberg;E103C;14;3;1
14.12.2016;09:00;70269520166;LAK116G;Eirberg;E201C;12;3;1
14.12.2016;09:00;70269520166;LAK116G;Logberg;L201;3;3;2
14.12.2016;09:00;08310920166;RAF503G;Haskolatorg;Ht103;11;3;1
14.12.2016;09:00;08310920166;RAF503G;Arnagardur;A101;2;3;2
14.12.2016;09:00;05281320166;RUS104G;Arnagardur;A301;13;3;1
14.12.2016;09:00;05281320166;RUS104G;Arnagardur;A101;1;3;2
14.12.2016;09:00;10026320166;SAL115G;Haskolatorg;Ht104;40;3;1
14.12.2016;09:00;10026320166;SAL115G;Haskolatorg;Ht105;68;3;1
14.12.2016;09:00;10026320166;SAL115G;Haskolatorg;Ht102;68;3;1
14.12.2016;09:00;10026320166;SAL115G;Haskolatorg;Ht103;24;3;1
14.12.2016;09:00;10026320166;SAL115G;Arnagardur;A101;9;3;2
14.12.2016;09:00;10026320166;SAL115G;Arnagardur;A310;7;3;2
14.12.2016;09:00;10091920166;STJ301M;Haskolatorg;Ht104;12;3;1
14.12.2016;09:00;10091920166;STJ301M;Haskolatorg;Ht105;12;3;1
14.12.2016;09:00;10091920166;STJ301M;Haskolatorg;Ht102;12;3;1
14.12.2016;09:00;10091920166;STJ301M;Haskolatorg;Ht103;16;3;1
14.12.2016;09:00;10091920166;STJ301M;Arnagardur;A101;1;3;2
14.12.2016;09:00;70111420166;TSM101G;Arnagardur;A311;7;3;1
14.12.2016;09:00;70111420166;TSM101G;Arnagardur;A310;1;3;2
14.12.2016;09:00;05750420166;TYS108G;Arnagardur;A301;13;3;1
14.12.2016;09:00;05750420166;TYS108G;Arnagardur;A310;1;3;2
