Dagur;Tími;ID;Námskeið;Bygging;Stofa;Fjöldi;Lengd prófs;Heildarfjöldi;Hámarksfjöldi;Fjöldi námskeiða í stofu;Ósk um fjölda í stofu;Inspera;
2019.12.4;09:00;70891920196;HJU151F;Adalbygging;A050;6;3;;;;0;1; 
;;;;;A050;;;6;15;1;;
2019.12.4;09:00;70742420196;SJU509G;Adalbygging;A051;5;2;;;;0;0;Stapi 210 Lg-201 Stapi 108 H203 H202 Verklegt utan H.Í. Lg-12
;;;;;A051;;;5;12;1;;
2019.12.4;09:00;31000320196;MVS202F;Adalbygging;A052;15;3;;;;0;1;H207 K-103:Stakkahlid_Hamar Stakkahlid_Klettur
;;;;;A052;;;15;18;1;;
2019.12.4;09:00;70939320196;HIT001G;Adalbygging;A069;7;3;;;;0;0;Bratti E-301 H207 H209:Stakkahlid_Enni Stakkahlid_Hamar
2019.12.4;09:00;70982720196;HAG512G;Adalbygging;A069;5;3;;;;0;0;A069:Adalbygging
;;;;;A069;;;12;12;2;;
;;;;Adalbygging;;;;38;57;;;;
2019.12.4;09:00;70055120196;MIS105F;Arnagardur;A201;16;3;;;;0;0;Á311:Arnagardur
;;;;;A201;;;16;48;1;;
;;;;;A301;;;0;48;0;;
;;;;;A304;;;0;20;0;;
2019.12.4;09:00;70978620196;SAG339G;Arnagardur;A311;9;3;;;;0;0;Á304 Á311:Arnagardur
;;;;;A311;;;9;26;1;;
;;;;Arnagardur;;;;25;142;;;;
2019.12.4;09:00;05502920196;ISE501G;Askja;Askja130;7;3;;;;0;0;Á310 Á303:Arnagardur
2019.12.4;09:00;70012520196;SAL136F;Askja;Askja130;7;3;;;;0;0;O-206:Oddi
;;;;;Askja130;;;14;20;2;;
2019.12.4;09:00;70315620196;TAL307F;Askja;Askja131;7;3;;;;0;0; 
2019.12.4;09:00;02061320196;GSL101G;Askja;Askja131;11;3;;;;0;0;Askja132 Askja130 Askja131 Stapi 210:Askja
;;;;;Askja131;;;18;30;2;;
;;;;Askja;;;;32;50;;;;
;;;;Gimli;;;;0;0;;;;
2019.12.4;09:00;70939320196;HIT001G;Haskolatorg;HT102;29;3;;;;0;0;Bratti E-301 H207 H209:Stakkahlid_Enni Stakkahlid_Hamar
2019.12.4;09:00;10021320196;SAL504G;Haskolatorg;HT102;29;3;;;;0;0;HT105 HB-4 E201C:Haskolatorg
;;;;;HT102;;;58;85;2;;
2019.12.4;09:00;70891920196;HJU151F;Haskolatorg;HT103;18;3;;;;0;1; 
2019.12.4;09:00;70706520196;TSM502G;Haskolatorg;HT103;5;3;;;;0;1; 
2019.12.4;09:00;70215320196;TSM302G;Haskolatorg;HT103;5;3;;;;0;1; 
;;;;;HT103;;;28;54;3;;
2019.12.4;09:00;70055120196;MIS105F;Haskolatorg;HT104;16;3;;;;0;0;Á311:Arnagardur
2019.12.4;09:00;70939320196;HIT001G;Haskolatorg;HT104;18;3;;;;0;0;Bratti E-301 H207 H209:Stakkahlid_Enni Stakkahlid_Hamar
;;;;;HT104;;;34;54;2;;
2019.12.4;09:00;09122120196;STA313M;Haskolatorg;HT105;4;3;;;;0;0; 
2019.12.4;09:00;70185820196;NSR007F;Haskolatorg;HT105;17;3;;;;0;0;L201:Logberg
2019.12.4;09:00;10021320196;SAL504G;Haskolatorg;HT105;29;3;;;;0;0;HT105 HB-4 E201C:Haskolatorg
;;;;;HT105;;;50;85;3;;
;;;;Haskolatorg;;;;170;278;;;;
2019.12.4;09:00;70185820196;NSR007F;HusVigdisar;VHV007;17;3;;;;0;0;L201:Logberg
2019.12.4;09:00;70939320196;HIT001G;HusVigdisar;VHV007;18;3;;;;0;0;Bratti E-301 H207 H209:Stakkahlid_Enni Stakkahlid_Hamar
;;;;;VHV007;;;35;44;2;;
;;;;HusVigdisar;;;;35;44;;;;
;;;;;L102;;;0;25;0;;
2019.12.4;09:00;02083420196;LEI503G;Logberg;L103;8;3;;;;0;0; 
;;;;;L103;;;8;25;1;;
;;;;Logberg;;;;8;50;;;;
