Dagur;Tími;Fagnúmer ID;Stofu ID;Fjöldi;Lengd
2019.12.16;09:00;09101420196;1311;37;3
2019.12.16;09:00;09101420196;1314;49;3
2019.12.16;09:00;09101420196;1312;51;3
2019.12.16;09:00;09101420196;608;39;3
2019.12.16;09:00;09101420196;609;12;3
2019.12.16;09:00;09101420196;739;9;3
2019.12.16;09:00;09101420196;742;18;3
2019.12.16;09:00;09101420196;743;14;3
2019.12.16;09:00;09101420196;744;14;3
2019.12.16;09:00;09101420196;765;14;3
2019.12.16;09:00;09101420196;767;17;3
2019.12.16;09:00;70956120196;1351;9;3
2019.12.16;09:00;70956120196;1352;15;3
2019.12.16;09:00;70956120196;1353;12;3
2019.12.16;09:00;70956120196;1354;12;3
2019.12.16;09:00;70956120196;1355;11;3
2019.12.16;09:00;70956120196;1356;15;3
2019.12.16;09:00;70956120196;1357;13;3
2019.12.16;09:00;70956120196;1358;12;3
2019.12.16;09:00;70620420196;1363;6;3
2019.12.16;09:00;70620420196;1365;8;3
2019.12.16;09:00;70620420196;1366;13;3
2019.12.16;09:00;70435020196;471;10;3
2019.12.16;09:00;70435020196;472;10;3
2019.12.16;09:00;05751420196;1351;5;3
2019.12.16;09:00;09214320196;1364;8;3
2019.12.16;09:00;09214320196;1367;12;3
2019.12.16;09:00;70853820196;1351;8;3
2019.12.16;09:00;70853820196;1352;10;3
2019.12.16;09:00;70853820196;1354;7;3
2019.12.16;09:00;70853820196;1355;9;3
2019.12.16;09:00;70853820196;1356;10;3
2019.12.16;09:00;70853820196;1357;8;3
2019.12.16;09:00;70853820196;1358;21;3
2019.12.16;09:00;08210620196;1363;9;3
2019.12.16;09:00;08210620196;1364;12;3
2019.12.16;09:00;08210620196;1365;12;3
2019.12.16;09:00;08210620196;1366;12;3
2019.12.16;09:00;08210620196;1367;13;3
2019.12.16;09:00;04410320196;914;22;3
2019.12.16;09:00;04410320196;915;28;3
2019.12.16;09:00;04410320196;1276;12;3
2019.12.16;09:00;04410320196;1277;16;3
2019.12.16;09:00;04410320196;1311;43;3
2019.12.16;09:00;04410320196;1313;21;3
2019.12.16;09:00;04410320196;1314;32;3
2019.12.16;09:00;04410320196;1312;34;3
2019.12.16;09:00;04410320196;471;15;3
2019.12.16;09:00;04410320196;472;15;3
2019.12.16;09:00;09101320196;608;26;3
2019.12.16;09:00;09101320196;742;18;3
2019.12.16;09:00;09101320196;765;8;3
2019.12.16;09:00;08311320196;1353;7;3
2019.12.16;09:00;70387120196;1313;33;3
2019.12.16;09:00;70387120196;609;8;3
2019.12.16;09:00;70387120196;739;6;3
2019.12.16;09:00;70387120196;743;8;3
2019.12.16;09:00;70387120196;744;8;3
2019.12.16;09:00;70387120196;767;13;3
2019.12.16;09:00;04520820196;914;26;3
2019.12.16;09:00;04520820196;915;19;3
2019.12.16;09:00;04520820196;1276;8;3
2019.12.16;09:00;04520820196;1277;10;3
