Dagur;Tími;Fagnúmer ID;Stofu ID;Fjöldi;Lengd
2019.12.4;13:30;70075020196;914;9;3
2019.12.4;13:30;70075020196;915;9;3
2019.12.4;13:30;09681220196;1356;13;3
2019.12.4;13:30;09681220196;1357;9;3
2019.12.4;13:30;10597020196;914;20;3
2019.12.4;13:30;10597020196;1277;13;3
2019.12.4;13:30;70357420196;1352;25;3
2019.12.4;13:30;70357420196;1353;9;3
2019.12.4;13:30;08214420196;1351;11;3
2019.12.4;13:30;08214420196;1358;17;3
2019.12.4;13:30;04410220196;914;19;3
2019.12.4;13:30;04410220196;915;21;3
2019.12.4;13:30;04410220196;1277;13;3
2019.12.4;13:30;04410220196;1311;42;3
2019.12.4;13:30;04410220196;1313;27;3
2019.12.4;13:30;04410220196;1314;27;3
2019.12.4;13:30;04410220196;1312;42;3
2019.12.4;13:30;04410220196;739;7;3
2019.12.4;13:30;04410220196;742;17;3
2019.12.4;13:30;04410220196;743;11;3
2019.12.4;13:30;04410220196;744;11;3
2019.12.4;13:30;04410220196;765;11;3
2019.12.4;13:30;04410220196;767;15;3
2019.12.4;13:30;08114220196;915;18;3
2019.12.4;13:30;70798320196;1351;11;3
2019.12.4;13:30;70798320196;1357;11;3
2019.12.4;13:30;70791020196;1356;12;3
2019.12.4;13:30;09631320196;1358;15;3
2019.12.4;13:30;50000720196;1311;43;3
2019.12.4;13:30;50000720196;1313;27;3
2019.12.4;13:30;50000720196;1314;27;3
2019.12.4;13:30;50000720196;1312;43;3
2019.12.4;13:30;50000720196;739;8;3
2019.12.4;13:30;50000720196;742;18;3
2019.12.4;13:30;50000720196;743;11;3
2019.12.4;13:30;50000720196;744;11;3
2019.12.4;13:30;50000720196;765;11;3
2019.12.4;13:30;50000720196;767;15;3
2019.12.4;13:30;71008020196;1353;10;3
2019.12.4;13:30;71008020196;1354;19;3
2019.12.4;13:30;71008020196;1355;20;3
