Dagur;Tími;Fagnúmer ID;Stofu ID;Fjöldi;Lengd
2017.12.14;13:30;09248020176;1245;8;3
2017.12.14;13:30;09248020176;1246;8;3
2017.12.14;13:30;52000820176;1311;37;3
2017.12.14;13:30;52000820176;1312;56;3
2017.12.14;13:30;70070620176;1246;8;3
2017.12.14;13:30;70613620176;1313;11;3
2017.12.14;13:30;70613620176;1314;11;3
2017.12.14;13:30;05501120176;914;26;3
2017.12.14;13:30;05501120176;915;18;3
2017.12.14;13:30;04071220176;608;13;3
2017.12.14;13:30;04071220176;609;12;3
2017.12.14;13:30;04071220176;638;25;3
2017.12.14;13:30;10070420176;1313;15;3
2017.12.14;13:30;10070420176;1314;27;3
2017.12.14;13:30;09355020176;608;7;3
2017.12.14;13:30;09355020176;609;7;3
2017.12.14;13:30;01020320176;1276;12;3
2017.12.14;13:30;05772420176;471;7;3
2017.12.14;13:30;05772420176;472;7;3
2017.12.14;13:30;05402220176;914;12;3
2017.12.14;13:30;10090320176;1311;12;3
2017.12.14;13:30;10090320176;1313;27;3
2017.12.14;13:30;10090320176;1312;12;3
2017.12.14;13:30;10090320176;1457;40;3
2017.12.14;13:30;10090320176;638;11;3
2017.12.14;13:30;10063520176;1311;31;3
2017.12.14;13:30;10063520176;1314;16;3
2017.12.14;13:30;10063520176;1312;12;3
2017.12.14;13:30;05403520176;915;9;3
2017.12.14;13:30;05403520176;1276;9;3
2017.12.14;13:30;70570220176;915;23;3
2017.12.14;13:30;04530320176;471;18;3
2017.12.14;13:30;04530320176;472;15;3
2017.12.14;13:30;70791320176;1352;25;3
2017.12.14;13:30;70791320176;1356;25;3
2017.12.14;13:30;70791320176;1357;22;3
2017.12.14;13:30;05000220176;914;12;3
2017.12.14;13:30;10101320176;608;23;3
2017.12.14;13:30;09321120176;1245;12;3
2017.12.14;13:30;09321120176;1246;14;3
2017.12.14;13:30;70176920176;1276;5;3
2017.12.14;13:30;09353020176;742;35;3
2017.12.14;13:30;09353020176;767;30;3
