Dagur;Tími;ID;Námskeið;Stofa;Bygging;Fjöldi;Lengd prófs;Forgangur
16.12.2016;13:30;03012520166;LOG103G;Gimli;G101;1;3;1
16.12.2016;13:30;03012520166;LOG103G;Haskolatorg;Ht204;40;3;1
16.12.2016;13:30;03012520166;LOG103G;Oddi;O301;38;3;1
16.12.2016;13:30;03012520166;LOG103G;Oddi;O102;15;3;1
16.12.2016;13:30;70642620166;ASK305F;Haskolatorg;Ht104;15;3;1
16.12.2016;13:30;09311120166;EFN301G;Eirberg;E103C;38;3;1
16.12.2016;13:30;09311120166;EFN301G;Eirberg;E201C;12;3;1
16.12.2016;13:30;09311120166;EFN301G;Eirberg;E203C;22;3;1
16.12.2016;13:30;09311120166;EFN301G;Adalbygging;A225;9;3;1
16.12.2016;13:30;70800320166;EFN316G;VRII;V261;13;3;1
16.12.2016;13:30;70800320166;EFN316G;Arnagardur;A101;2;3;2
16.12.2016;13:30;05250220166;FRA101G;Adalbygging;A050;10;3;1
16.12.2016;13:30;70781520166;FRG315G;Eirberg;E103C;12;3;1
16.12.2016;13:30;70781520166;FRG315G;Eirberg;E201C;24;3;1
16.12.2016;13:30;70781520166;FRG315G;Eirberg;E203C;28;3;1
16.12.2016;13:30;70781520166;FRG315G;Logberg;L201;11;3;2
16.12.2016;13:30;01130120166;GFR046F;Arnagardur;A201;11;3;1
16.12.2016;13:30;01130120166;GFR046F;Arnagardur;A101;2;3;2
16.12.2016;13:30;70741420166;GFR510M;Arnagardur;A304;4;3;1
16.12.2016;13:30;70741420166;GFR510M;Arnagardur;A310;1;3;2
16.12.2016;13:30;04510120166;HAG103G;Haskolatorg;Ht102;71;3;1
16.12.2016;13:30;04510120166;HAG103G;Haskolatorg;Ht103;43;3;1
16.12.2016;13:30;04510120166;HAG103G;Haskolatorg;Ht104;28;3;1
16.12.2016;13:30;04510120166;HAG103G;Haskolatorg;Ht105;71;3;1
16.12.2016;13:30;04510120166;HAG103G;Adalbygging;A207;17;3;1
16.12.2016;13:30;04510120166;HAG103G;Adalbygging;A225;3;3;1
16.12.2016;13:30;04530120166;HAG508G;Haskolatorg;Ht103;9;3;1
16.12.2016;13:30;04530120166;HAG508G;Haskolatorg;Ht104;9;3;1
16.12.2016;13:30;04530120166;HAG508G;Arnagardur;A310;4;3;2
16.12.2016;13:30;70425220166;ISE105G;Hamar;H201;23;3;1
16.12.2016;13:30;70425220166;ISE105G;Hamar;H203;16;3;1
16.12.2016;13:30;70425220166;ISE105G;Hamar;H205;25;3;1
16.12.2016;13:30;70425220166;ISE105G;Hamar;H207;45;3;1
16.12.2016;13:30;70425220166;ISE105G;Adalbygging;A207;1;3;1
16.12.2016;13:30;05501120166;ISE301G;Oddi;O201;18;3;2
16.12.2016;13:30;05501120166;ISE301G;Oddi;O202;14;3;2
16.12.2016;13:30;05501120166;ISE301G;Arnagardur;A101;2;3;2
16.12.2016;13:30;05400120166;ISL110G;Logberg;L102;16;3;1
16.12.2016;13:30;05400120166;ISL110G;Logberg;L103;16;3;1
16.12.2016;13:30;05400120166;ISL110G;Logberg;L201;3;3;2
16.12.2016;13:30;70618720166;ISL320G;Oddi;O201;24;3;2
16.12.2016;13:30;70624620166;ITA115G;Arnagardur;A311;10;3;1
16.12.2016;13:30;70624620166;ITA115G;Arnagardur;A310;1;3;2
16.12.2016;13:30;09355020166;LEF501M;Logberg;L102;9;3;1
16.12.2016;13:30;09355020166;LEF501M;Logberg;L103;9;3;1
16.12.2016;13:30;09355020166;LEF501M;Logberg;L201;2;3;2
16.12.2016;13:30;06032920166;LYF303G;Adalbygging;A050;13;3;1
16.12.2016;13:30;06032920166;LYF303G;Adalbygging;A218;23;3;2
16.12.2016;13:30;06032920166;LYF303G;Adalbygging;A225;5;3;1
16.12.2016;13:30;05601820166;SAG103G;Askja;N130;20;2;1
16.12.2016;13:30;05601820166;SAG103G;Askja;N131;30;2;1
16.12.2016;13:30;05601820166;SAG103G;Arnagardur;A303;5;2;2
16.12.2016;13:30;10090020166;STJ101G;Arnagardur;A201;37;3;1
16.12.2016;13:30;10090020166;STJ101G;Arnagardur;A301;46;3;1
16.12.2016;13:30;10090020166;STJ101G;Arnagardur;A304;12;3;1
16.12.2016;13:30;10090020166;STJ101G;Arnagardur;A311;12;3;1
16.12.2016;13:30;10090020166;STJ101G;Arnagardur;A101;8;3;2
16.12.2016;13:30;05700220166;SAN107G;Arnagardur;A304;9;3;1
16.12.2016;13:30;08713320166;TOL304G;VRII;V147;15;3;2
16.12.2016;13:30;08713320166;TOL304G;VRII;V152;23;3;1
16.12.2016;13:30;08713320166;TOL304G;VRII;V156;22;3;1
16.12.2016;13:30;08713320166;TOL304G;VRII;V258;22;3;1
16.12.2016;13:30;08713320166;TOL304G;VRII;V261;17;3;1
16.12.2016;13:30;08713320166;TOL304G;Arnagardur;A310;7;3;2
16.12.2016;13:30;70559820166;VEL120F;VRII;V152;13;3;1
16.12.2016;13:30;70559820166;VEL120F;Logberg;L201;1;3;2
16.12.2016;13:30;04419920166;VID304G;Haskolatorg;Ht102;9;3;1
16.12.2016;13:30;04419920166;VID304G;Haskolatorg;Ht105;9;3;1
16.12.2016;13:30;04419920166;VID304G;Logberg;L201;1;3;2
16.12.2016;13:30;05750120166;TYS105G;Oddi;O202;6;3;2
16.12.2016;13:30;05750120166;TYS105G;Arnagardur;A310;1;3;2
