Dagur;Tími;Fagnúmer ID;Stofu ID;Fjöldi;Lengd
2019.12.2;13:30;10026220196;914;19;3
2019.12.2;13:30;10026220196;915;19;3
2019.12.2;13:30;10026220196;1277;10;3
2019.12.2;13:30;10026220196;1311;34;3
2019.12.2;13:30;10026220196;1312;35;3
2019.12.2;13:30;70131820196;1314;9;3
2019.12.2;13:30;05601620196;1313;44;2
2019.12.2;13:30;10150120196;739;5;3
2019.12.2;13:30;10150120196;743;8;3
2019.12.2;13:30;10150120196;744;8;3
2019.12.2;13:30;10150120196;767;12;3
2019.12.2;13:30;10542020196;742;14;3
2019.12.2;13:30;10542020196;765;8;3
2019.12.2;13:30;70070620196;1781;5;3
2019.12.2;13:30;02081120196;1343;12;3
2019.12.2;13:30;02081120196;1348;12;3
2019.12.2;13:30;02081120196;1351;8;3
2019.12.2;13:30;02081120196;1352;15;3
2019.12.2;13:30;02081120196;1353;7;3
2019.12.2;13:30;02081120196;1354;7;3
2019.12.2;13:30;02081120196;1355;12;3
2019.12.2;13:30;02081120196;1356;10;3
2019.12.2;13:30;02081120196;1357;8;3
2019.12.2;13:30;02081120196;1358;14;3
2019.12.2;13:30;02081120196;1364;12;3
2019.12.2;13:30;02081120196;1365;8;3
2019.12.2;13:30;02081120196;1366;10;3
2019.12.2;13:30;02081120196;1367;15;3
2019.12.2;13:30;10026020196;914;29;3
2019.12.2;13:30;10026020196;915;29;3
2019.12.2;13:30;10026020196;1276;12;3
2019.12.2;13:30;10026020196;1277;16;3
2019.12.2;13:30;10026020196;1311;51;3
2019.12.2;13:30;10026020196;1312;50;3
2019.12.2;13:30;10026020196;1781;27;3
2019.12.2;13:30;10026020196;739;8;3
2019.12.2;13:30;10026020196;742;22;3
2019.12.2;13:30;10026020196;743;14;3
2019.12.2;13:30;10026020196;744;14;3
2019.12.2;13:30;10026020196;765;14;3
2019.12.2;13:30;10026020196;767;18;3
2019.12.2;13:30;09103120196;1343;18;3
2019.12.2;13:30;09103120196;1348;8;3
2019.12.2;13:30;09103120196;1351;14;3
2019.12.2;13:30;09103120196;1352;10;3
2019.12.2;13:30;09103120196;1353;12;3
2019.12.2;13:30;09103120196;1354;12;3
2019.12.2;13:30;09103120196;1355;8;3
2019.12.2;13:30;09103120196;1356;15;3
2019.12.2;13:30;09103120196;1357;13;3
2019.12.2;13:30;09103120196;1358;20;3
2019.12.2;13:30;09103120196;1363;9;3
2019.12.2;13:30;09103120196;1364;8;3
2019.12.2;13:30;09103120196;1365;12;3
2019.12.2;13:30;09103120196;1366;15;3
2019.12.2;13:30;09103120196;1367;10;3
2019.12.2;13:30;09103820196;1276;7;3
2019.12.2;13:30;07043020196;1781;8;3
