# uppfært 29/10

param Slot :=
VEL114F	12	1
LOG152F	13	1
LOG132F	13	1
VID301G	13	1
TOS301G	13	1
SAG319G	13	1
JAP302G	13	1
LSS402G	13	1
MAT504M	13	1
HSP104G	13	1
SAL503G	13	1
EDL306G	13	1
TJO103G	13	1
FRG508G	13	1
GFR324M	13	1
NAR503M	13	1
EFN304G	13	1
UMV120F	13	1
SJU308G	13	1
FEL105G	13	1
LAK514G	13	1
STJ304G	13	1
GSS0ANG	13	1
TOL305G	13	1
DAN110G	13	1
LOG503G	13	1
BYG302G	13	1
LEI503G	13	1
LAK305F	13	1
VEL301G	13	1
SPA302M	13	1
GRI103G	13	1
ASK304F	13	1
TSM001G	13	1
BYG501G	13	1
SAL104G	14	1
ENS303G	14	1
STJ503G	14	1
ENS134G	14	1
ISE014G	14	1
HAG110F	14	1
TOL106G	14	1
LAK310G	14	1
TYS308G	14	1
GSL104G	14	1
JAR117F	14	1
HJU106G	14	1
STA519M	14	1
RAF501G	14	1
LEF508G	14	1
HJU135F	14	1
ASK101F	14	1
LIF516M	14	1
FOM001F	14	1
MAN330G	14	1
FRA307G	14	1
ISE501G	14	1
LOG118F	15	1
MAT103G	15	1
VID302G	15	1
SJU508G	15	1
LAK112G	15	1
SAL519G	15	1
TAN608G	15	1
TAN110G	15	1
ISL301G	15	1
TYD002M	15	1
ISL109G	15	1
TRS515G	15	1
LSS104G	15	1
MEN102G	15	1
TOV301G	15	1
EDL302G	15	1
EFN114G	15	1
EDL523M	15	1
UMV102G	15	1
JAP101G	16	1
UMS501G	16	1
TAK105G	16	1
ITA113G	16	1
UMV114F	16	1
UMS103F	16	1
LIF315G	16	1
GSL303G	16	1
TAL103F	16	1
VID113F	16	1
HJU308G	16	1
ABF316G	16	1
HJU705G	16	1
VID511G	16	1
HJU502G	16	1
LYF509G	16	1
ITH115G	16	1
STA303G	16	1
GSS0AXG	16	1
FRG101G	16	1
GSS092G	16	1
KIN107G	16	1
IDN101G	16	1
LOG103F	17	1
LOG114F	17	1
HAG304G	17	1
LAN102G	17	1
GFR513M	17	1
RAF503G	17	1
BYG120F	17	1
TYS108G	17	1
KVI101G	17	1
RUS104G	17	1
IDN101M	17	1
STJ301M	17	1
TSM101G	17	1
SAL115G	17	1
VID111F	17	1
JED505G	17	1
JED301G	17	1
LAK115G	17	1
HSP321G	17	1
LAK116G	17	1
GSS101F	17	1
LEI103G	17	1
FEL306G	17	1
MAF102G	18	1
VID103G	18	1
ENS102G	18	1
UAU111F	18	1
TAN208G	18	1
STJ325G	18	1
TOL104G	18	1
EFN315G	18	1
GSL101G	18	1
LAN514G	18	1
MAT303M	18	1
MAN331G	18	1
LYF301G	18	1
LIF108G	18	1
LAT101G	18	1
ISE102G	18	1
SAN106G	18	1
EFN307G	18	1
FRA107G	18	1
LOG104F	19	1
ITH108G	19	1
LOG303G	19	1
NAR504M	19	1
LIF102G	19	1
GSL405G	19	1
EFN311G	19	1
TYS310G	19	1
LIF313G	19	1
FRG501G	19	1
DAN313G	19	1
LAK304F	19	1
HJU110G	19	1
ITA324G	19	1
JAP103G	19	1
UPP109F	19	1
STA520M	19	1
VID167F	19	1
GSS105G	19	1
EDL509M	19	1
SAL504G	19	1
VID162F	19	1
LEI501G	19	1
RUS201G	19	1
DAN101G	19	1
LYF105F	20	1
TRS311G	20	1
LIS004G	20	1
MEX020G	20	1
GFR114G	20	1
GFR110G	20	1
KIN302G	20	1
ENS507G	20	1
IDN502G	20	1
TOL103G	20	1
SAL136F	20	1
GSL301G	20	1
LEI402G	20	1
SJU306G	20	1
LYF507G	20	1
ABF043G	20	1
RAF301G	20	1
FEL313G	20	1
VID505G	20	1
HAG303G	20	1
FOR103G	20	1
HSP103G	20	1
LOG106F	21	1
LOG122F	21	1
LAN113F	21	1
LAK306F	21	1
LAN516G	21	1
UAU112F	21	1
LEI107G	21	1
EFN108G	21	1
SAL313G	21	1
TAN207G	21	1
JAP106G	21	1
ENS329G	21	1
TOL504M	21	1
MVS109F	21	1
LOG502G	21	1
SPA105G	21	1
HAG106F	21	1
GSS095G	21	1
HJU310G	21	1
HJU219F	21	1
HJU504G	21	1
LAN101G	21	1
TOL304G	22	1
LEF501M	22	1
ISL110G	22	1
FRG315G	22	1
LYF303G	22	1
SAG103G	22	1
GFR510M	22	1
FRA101G	22	1
EFN301G	22	1
LOG103G	22	1
HAG508G	22	1
VID304G	22	1
EFN316G	22	1
HAG103G	22	1
ISE301G	22	1
VEL120F	22	1
ISL320G	22	1
STJ101G	22	1
ASK305F	22	1
GFR046F	22	1
TYS105G	22	1
SAN107G	22	1
ITA115G	22	1
ISE105G	22	1
;


/*
param Slot :=
ENS101G 12 1
UMV117F 1 1
UMV302G 1 1
TSM302G 1 1
GSS096G 11 1
SAL313G 21 1
LAK515G 1 1
HJU148F 2 1
STA105G 1 1
TAN401G 1 1
TAN623G 1 1
STA108G 1 1
ITH040G 1 1
ITA303G 1 1
VID301G 13 1
LOG123F 2 1
LOG111F 1 1
VEL502G 1 1
TAN107G 1 1
SAG101G 1 1
ENS103G 3 1
HJU109G 1 1
STA107G 2 1
FER101G 6 1
STA106G 2 1
FEL102G 2 1
SAL104G 14 1
LAN516G 21 1
HAG105G 2 1
FRG103G 12 1
LOG306G 1 1
LAN113F 21 1
STM022F 2 1
VID506G 8 1
EDL306G 13 1
LOG102F 3 1
LEI108G 3 1
LOG504G 4 1
SAL115G 17 1
LAK307G 3 1
FRG508G 13 1
ITH503G 3 1
LAK025M 8 1
HJU309G 3 1
LEI303G 8 1
TOL301G 5 1
VID105G 7 1
ISE103G 12 1
KYN106G 1 1
LAN107G 4 1
STA104G 3 1
KYN101F 1 1
LYF102G 4 1
SJU107G 4 1
HJU701G 4 1
HAG504G 1 1
LEF302G 3 1
HAG108F 1 1
HJU332F 5 1
BLF113F 11 1
FEL314G 11 1
SAG036G 5 1
GFR110G 20 1
LOG146F 5 1
GFR114G 20 1
GSS0AZG 3 1
HJU505G 6 1
LOG108G 6 1
STA302G 6 1
EFN106G 7 1
LOG131F 8 1
EFN112G 7 1
ITH322G 7 1
TAN403G 9 1
LOG110F 9 1
TOL105G 9 1
TAN303G 9 1
TOL101G 9 1
HJU108G 9 1
HJU703G 11 1
HJU142F 10 1
LAN104G 10 1
LIF301G 11 1
TSM502G 11 1
TSM304G 11 1
LOG304G 11 1
LAK120G 11 1
LOG168F 12 1
HJU501G 12 1
LAK121G 11 1
LIF109G 12 1
TOL303G 12 1
LOG503G 14 1
LOG132F 13 1
LOG152F 14 1
TSM001G 13 1
SAG319G 13 1
LAK514G 13 1
LAK305F 13 1
LAK206F 13 1
HJU106G 14 1
HJU135F 14 1
LOG118F 16 1
LAK112G 15 1
HJU502G 16 1
TAN110G 15 1
TAN608G 15 1
HJU308G 16 1
LAK116G 17 1
LOG103F 18 1
TSM101G 17 1
LAK115G 17 1
LOG114F 17 1
LOG104F 20 1
LAK304F 19 1
HJU110G 19 1
LOG303G 19 1
HJU705G 16 1
LOG106F 22 1
HJU310G 21 1
LOG502G 21 1
LOG122F 21 1
LAK306F 21 1
HJU219F 21 1
GFR510M 22 1
HJU504G 21 1
TYS105G 22 1
LOG103G 22 1
GFR046F 22 1
IDN502G 20 1
