Dagur;Tími;ID;Námskeið;Bygging;Stofa;Fjöldi;Lengd prófs;Heildarfjöldi;Hámarksfjöldi;Fjöldi námskeiða í stofu;Ósk um fjölda í stofu;Inspera;
2019.12.16;13:30;02010520196;LAK212G;Arnagardur;A201;12;3;;;;0;0; 
2019.12.16;13:30;04440220196;VID513G;Arnagardur;A201;16;3;;;;0;0;O-101:Oddi
;;;;;A201;;;28;48;2;;
2019.12.16;13:30;04440220196;VID513G;Arnagardur;A301;16;3;;;;0;0;O-101:Oddi
2019.12.16;13:30;70618720196;ISL320G;Arnagardur;A301;7;3;;;;0;0;Á310 A052:Arnagardur
;;;;;A301;;;23;48;2;;
2019.12.16;13:30;04440220196;VID513G;Arnagardur;A304;12;3;;;;0;0;O-101:Oddi
;;;;;A304;;;12;20;1;;
2019.12.16;13:30;04440220196;VID513G;Arnagardur;A311;9;3;;;;0;0;O-101:Oddi
2019.12.16;13:30;08221420196;VEL501M;Arnagardur;A311;7;3;;;;0;0;N-120 Á303 N-121 Askja130:Askja Arnagardur
;;;;;A311;;;16;26;2;;
;;;;Arnagardur;;;;79;142;;;;
2019.12.16;13:30;10061620196;FRG501G;Askja;Askja130;11;3;;;;0;1;L102:Logberg
2019.12.16;13:30;70990120196;HJU528G;Askja;Askja130;9;3;;;;0;1;E203C E205C:Eirberg
;;;;;Askja130;;;20;20;2;;
2019.12.16;13:30;70269420196;LAK115G;Askja;Askja131;12;3;;;;0;0;Lg-344 E203C E103C:Eirberg
2019.12.16;13:30;04440220196;VID513G;Askja;Askja131;18;3;;;;0;0;O-101:Oddi
;;;;;Askja131;;;30;30;2;;
;;;;Askja;;;;50;50;;;;
2019.12.16;13:30;70269520196;LAK116G;Eirberg;E103C;19;3;;;;0;0;Lg-344 E203C E103C Lg-343:Eirberg
2019.12.16;13:30;70269420196;LAK115G;Eirberg;E103C;17;3;;;;0;0;Lg-344 E203C E103C:Eirberg
;;;;;E103C;;;36;50;2;;
