Dagur;Tími;Fagnúmer ID;Stofu ID;Fjöldi;Lengd
2017.12.14;09:00;70387120176;742;19;3
2017.12.14;09:00;70387120176;744;15;3
2017.12.14;09:00;70387120176;765;22;3
2017.12.14;09:00;70387120176;767;15;3
2017.12.14;09:00;70387120176;1457;1;3
2017.12.14;09:00;09101420176;1311;79;3
2017.12.14;09:00;09101420176;1313;31;3
2017.12.14;09:00;09101420176;1314;42;3
2017.12.14;09:00;09101420176;1312;47;3
2017.12.14;09:00;09101420176;766;1;3
2017.12.14;09:00;08713920176;742;17;3
2017.12.14;09:00;09557120176;1245;20;3
2017.12.14;09:00;09557120176;1246;18;3
2017.12.14;09:00;09557120176;1290;1;3
2017.12.14;09:00;50004220176;1312;19;3
2017.12.14;09:00;70111420176;1313;11;3
2017.12.14;09:00;04410320176;1396;27;3
2017.12.14;09:00;04410320176;1397;15;3
2017.12.14;09:00;04410320176;1398;38;3
2017.12.14;09:00;04410320176;1351;20;3
2017.12.14;09:00;04410320176;1352;25;3
2017.12.14;09:00;04410320176;1353;16;3
2017.12.14;09:00;04410320176;1354;16;3
2017.12.14;09:00;04410320176;1355;25;3
2017.12.14;09:00;04410320176;1356;25;3
2017.12.14;09:00;04410320176;1357;22;3
2017.12.14;09:00;09101320176;1313;12;3
2017.12.14;09:00;09101320176;1314;12;3
2017.12.14;09:00;09101320176;1312;14;3
2017.12.14;09:00;09101320176;766;1;3
2017.12.14;09:00;08322120176;744;7;3
2017.12.14;09:00;08322120176;767;7;3
2017.12.14;09:00;07115820176;1277;7;3
2017.12.14;09:00;10021320176;1395;12;3
2017.12.14;09:00;10021320176;1396;23;3
2017.12.14;09:00;10021320176;1397;25;3
2017.12.14;09:00;10021320176;1398;12;3
2017.12.14;09:00;08731220176;1246;12;3
2017.12.14;09:00;08731220176;1290;1;3
2017.12.14;09:00;05506220176;914;49;3
2017.12.14;09:00;05506220176;915;50;3
2017.12.14;09:00;05506220176;1276;26;3
2017.12.14;09:00;05506220176;1277;17;3
2017.12.14;09:00;05506220176;1290;11;3
2017.12.14;09:00;05506220176;1458;21;3
2017.12.14;09:00;05506220176;1457;39;3
2017.12.14;09:00;05506220176;638;38;3
2017.12.14;09:00;05506220176;1794;14;3
2017.12.14;09:00;05506220176;766;19;3
