Dagur;Tími;ID;Námskeið;Bygging;Stofa;Fjöldi;Lengd prófs;Heildarfjöldi;Hámarksfjöldi;Fjöldi námskeiða í stofu;Ósk um fjölda í stofu;Inspera;
2019.12.16;09:00;70956120196;ISE032G;Arnagardur;A201;17;3;;;;0;1;A069 N-129 Askja130 L103 HT104 G101 VHV007:Askja Gimli Haskol
2019.12.16;09:00;70853820196;HJU313G;Arnagardur;A201;27;3;;;;0;1;E205C Heilbrigðisvísindasvið E203C EIR227B - heimastofa í ljó
;;;;;A201;;;44;48;2;;
2019.12.16;09:00;09101420196;STA107G;Arnagardur;A301;16;3;;;;0;0;HB-1 V02-157 V261 V156 V147 V258 Askja131 HB-2 HB-3 HB-4 HT10
2019.12.16;09:00;70620420196;LAN305G;Arnagardur;A301;17;3;;;;0;0;N-129 Askja131:Askja
2019.12.16;09:00;70435020196;EFN311G;Arnagardur;A301;10;3;;;;0;0;V152 VHV103 V156 L102:Logberg HusVigdisar VR_2
;;;;;A301;;;43;48;3;;
2019.12.16;09:00;09101420196;STA107G;Arnagardur;A304;12;3;;;;0;0;HB-1 V02-157 V261 V156 V147 V258 Askja131 HB-2 HB-3 HB-4 HT10
2019.12.16;09:00;70387120196;HAG105G;Arnagardur;A304;8;3;;;;0;0;HB-1 Á201 Askja132 HT103 Á311:Askja Arnagardur Haskolatorg
;;;;;A304;;;20;20;2;;
2019.12.16;09:00;70853820196;HJU313G;Arnagardur;A311;26;3;;;;0;1;E205C Heilbrigðisvísindasvið E203C EIR227B - heimastofa í ljó
;;;;;A311;;;26;26;1;;
;;;;Arnagardur;;;;133;142;;;;
2019.12.16;09:00;09101420196;STA107G;Askja;Askja130;7;3;;;;0;0;HB-1 V02-157 V261 V156 V147 V258 Askja131 HB-2 HB-3 HB-4 HT10
2019.12.16;09:00;04410320196;VID102G;Askja;Askja130;13;3;;;;0;0;HB-1 HB-2 Á201 Á301 Á101:Arnagardur
;;;;;Askja130;;;20;20;2;;
2019.12.16;09:00;09101420196;STA107G;Askja;Askja131;10;3;;;;0;0;HB-1 V02-157 V261 V156 V147 V258 Askja131 HB-2 HB-3 HB-4 HT10
2019.12.16;09:00;04410320196;VID102G;Askja;Askja131;20;3;;;;0;0;HB-1 HB-2 Á201 Á301 Á101:Arnagardur
;;;;;Askja131;;;30;30;2;;
;;;;Askja;;;;50;50;;;;
2019.12.16;09:00;70956120196;ISE032G;Eirberg;E103C;32;3;;;;0;1;A069 N-129 Askja130 L103 HT104 G101 VHV007:Askja Gimli Haskol
2019.12.16;09:00;70853820196;HJU313G;Eirberg;E103C;18;3;;;;0;1;E205C Heilbrigðisvísindasvið E203C EIR227B - heimastofa í ljó
;;;;;E103C;;;50;50;2;;
2019.12.16;09:00;09101420196;STA107G;Eirberg;E201C;30;3;;;;0;0;HB-1 V02-157 V261 V156 V147 V258 Askja131 HB-2 HB-3 HB-4 HT10
2019.12.16;09:00;70435020196;EFN311G;Eirberg;E201C;10;3;;;;0;0;V152 VHV103 V156 L102:Logberg HusVigdisar VR_2
;;;;;E201C;;;40;40;2;;
