Dagur;Tími;Fagnúmer ID;Stofu ID;Fjöldi;Lengd
2017.12.11;09:00;70870720176;915;12;3
2017.12.11;09:00;70131820176;1311;11;3
2017.12.11;09:00;70075020176;608;22;3
2017.12.11;09:00;70075020176;609;12;3
2017.12.11;09:00;70883320176;915;21;3
2017.12.11;09:00;70883320176;1276;14;3
2017.12.11;09:00;70883320176;1277;12;3
2017.12.11;09:00;09245220176;742;9;3
2017.12.11;09:00;09245220176;765;9;3
2017.12.11;09:00;09514720176;1246;23;3
2017.12.11;09:00;10090120176;1313;12;3
2017.12.11;09:00;10090120176;1314;23;3
2017.12.11;09:00;10090120176;1312;19;3
2017.12.11;09:00;08311320176;744;11;3
2017.12.11;09:00;70873120176;608;9;3
2017.12.11;09:00;10042120176;1311;12;3
2017.12.11;09:00;10042120176;1313;20;3
2017.12.11;09:00;10042120176;1312;45;3
2017.12.11;09:00;70069120176;765;1;3
2017.12.11;09:00;70069020176;744;7;3
2017.12.11;09:00;70768420176;1314;17;3
2017.12.11;09:00;70425220176;914;25;3
2017.12.11;09:00;70425220176;915;15;3
2017.12.11;09:00;70425220176;1276;12;3
2017.12.11;09:00;70425220176;1277;12;3
2017.12.11;09:00;09101020176;767;23;3
2017.12.11;09:00;70618720176;608;11;3
2017.12.11;09:00;08112120176;742;23;3
2017.12.11;09:00;02014520180;1396;18;3
2017.12.11;09:00;02014520180;1397;12;3
2017.12.11;09:00;02014520180;1398;19;3
2017.12.11;09:00;70563920176;765;7;3
2017.12.11;09:00;70563920176;767;7;3
2017.12.11;09:00;50000520176;1352;13;3
2017.12.11;09:00;50000520176;1356;12;3
2017.12.11;09:00;50000520176;1358;16;3
2017.12.11;09:00;50000720176;1352;12;3
2017.12.11;09:00;50000720176;1353;19;3
2017.12.11;09:00;50000720176;1354;19;3
2017.12.11;09:00;50000720176;1355;12;3
2017.12.11;09:00;50000720176;1356;12;3
2017.12.11;09:00;50000720176;1357;22;3
2017.12.11;09:00;50000720176;1358;14;3
2017.12.11;09:00;08713320176;1311;54;3
2017.12.11;09:00;08713320176;1313;22;3
2017.12.11;09:00;08713320176;1314;14;3
2017.12.11;09:00;08713320176;1312;17;3
2017.12.11;09:00;05772420176;914;13;3
2017.12.11;09:00;70662020176;1396;32;3
2017.12.11;09:00;70662020176;1397;32;3
2017.12.11;09:00;70662020176;1398;24;3
