Dagur;Tími;Fagnúmer ID;Stofu ID;Fjöldi;Lengd
2019.12.16;13:30;70269520196;1396;17;3
2019.12.16;13:30;70269520196;1397;20;3
2019.12.16;13:30;08111120196;1314;27;3
2019.12.16;13:30;08221420196;915;7;3
2019.12.16;13:30;02010520196;915;24;3
2019.12.16;13:30;04440220196;1263;59;3
2019.12.16;13:30;04440220196;608;33;3
2019.12.16;13:30;09517220196;1398;10;3
2019.12.16;13:30;08713320196;1311;40;3
2019.12.16;13:30;08713320196;1313;18;3
2019.12.16;13:30;08713320196;608;32;3
2019.12.16;13:30;08713320196;1781;22;3
2019.12.16;13:30;70618720196;915;15;3
2019.12.16;13:30;05270120196;1781;14;3
2019.12.16;13:30;70269420196;1396;17;3
2019.12.16;13:30;70269420196;1397;22;3
2019.12.16;13:30;70269420196;1398;17;3
2019.12.16;13:30;02015420196;470;24;3
2019.12.16;13:30;70840420196;1263;69;3
2019.12.16;13:30;70840420196;1264;57;3
2019.12.16;13:30;70840420196;470;25;3
2019.12.16;13:30;10061620196;1263;42;3
2019.12.16;13:30;70803320196;1264;57;3
2019.12.16;13:30;70803320196;1311;40;3
2019.12.16;13:30;70803320196;1313;18;3
2019.12.16;13:30;70803320196;1314;26;3
2019.12.16;13:30;70803320196;1312;42;3
2019.12.16;13:30;70000020196;1396;16;3
2019.12.16;13:30;70990120196;1398;23;3
2019.12.16;13:30;70990120196;1313;18;3
2019.12.16;13:30;70990120196;1312;43;3
2019.12.16;13:30;05712320196;1781;2;3
