Dagur;Tími;Fagnúmer ID;Stofu ID;Fjöldi;Lengd
2019.12.4;09:00;70890920196;1276;4;3
2019.12.4;09:00;70742420196;1348;9;2
2019.12.4;09:00;70742420196;1353;12;2
2019.12.4;09:00;70742420196;1354;12;2
2019.12.4;09:00;70315620196;1366;14;3
2019.12.4;09:00;02083420196;1277;16;3
2019.12.4;09:00;02061320196;608;32;3
2019.12.4;09:00;02010820196;914;7;3
2019.12.4;09:00;70055120196;915;22;3
2019.12.4;09:00;70055120196;1277;10;3
2019.12.4;09:00;05502920196;914;14;3
2019.12.4;09:00;70976720196;914;27;3
2019.12.4;09:00;09122120196;1276;4;3
2019.12.4;09:00;08212620196;608;33;3
2019.12.4;09:00;71006520196;1367;7;3
2019.12.4;09:00;70706520196;744;5;3
2019.12.4;09:00;70215320196;1367;5;3
2019.12.4;09:00;09313220196;744;10;3
2019.12.4;09:00;07095520196;744;6;3
2019.12.4;09:00;70185820196;1312;34;3
2019.12.4;09:00;70939320196;1311;36;3
2019.12.4;09:00;70939320196;1314;37;3
2019.12.4;09:00;31000320196;1366;11;3
2019.12.4;09:00;31000320196;1367;13;3
2019.12.4;09:00;70978620196;915;21;3
2019.12.4;09:00;70978620196;1276;12;3
2019.12.4;09:00;70012520196;1781;21;3
2019.12.4;09:00;10021320196;1314;44;3
2019.12.4;09:00;10021320196;1312;38;3
2019.12.4;09:00;70891920196;1311;44;3
2019.12.4;09:00;70546120196;915;5;3
2019.12.4;09:00;70755420196;1781;3;3
2019.12.4;09:00;70761920196;1312;3;3
2019.12.4;09:00;70982720196;1781;19;3
