Dagur;Tími;Fagnúmer ID;Stofu ID;Fjöldi;Lengd
2017.12.11;13:30;70834820176;742;11;3
2017.12.11;13:30;05501520176;608;40;3
2017.12.11;13:30;05240020176;915;11;3
2017.12.11;13:30;70844620176;739;15;3
2017.12.11;13:30;70844620176;742;12;3
2017.12.11;13:30;70844620176;744;21;3
2017.12.11;13:30;70844620176;765;22;3
2017.12.11;13:30;70844620176;767;12;3
2017.12.11;13:30;70435020176;742;13;3
2017.12.11;13:30;70435020176;767;18;3
2017.12.11;13:30;09101120176;1311;61;3
2017.12.11;13:30;09101120176;1313;54;3
2017.12.11;13:30;09101120176;1314;54;3
2017.12.11;13:30;09101120176;1312;68;3
2017.12.11;13:30;04410220176;914;44;3
2017.12.11;13:30;04410220176;915;37;3
2017.12.11;13:30;04410220176;1276;26;3
2017.12.11;13:30;04410220176;1277;24;3
2017.12.11;13:30;04410220176;1396;45;3
2017.12.11;13:30;04410220176;1397;44;3
2017.12.11;13:30;04410220176;1398;50;3
2017.12.11;13:30;50003920176;1356;12;3
2017.12.11;13:30;70894520176;1352;25;3
2017.12.11;13:30;70894520176;1358;30;3
2017.12.11;13:30;70359620176;1354;19;3
2017.12.11;13:30;70359620176;1355;17;3
2017.12.11;13:30;70359620176;1356;13;3
2017.12.11;13:30;70359620176;1357;22;3
2017.12.11;13:30;04075320176;1311;19;3
2017.12.11;13:30;04075320176;1312;12;3
2017.12.11;13:30;05260120176;914;4;3
